URL link,Title,Date
https://news.google.com/rss/articles/CBMigwFodHRwczovL3d3dy5pbWYub3JnL2VuL0Jsb2dzL0FydGljbGVzLzIwMjAvMTIvMDIvYmxvZy1ob3ctYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtY291bGQtd2lkZW4tdGhlLWdhcC1iZXR3ZWVuLXJpY2gtYW5kLXBvb3ItbmF0aW9uc9IBAA?oc=5,How Artificial Intelligence Could Widen the Gap Between Rich and Poor Nations - International Monetary Fund,2020-12-02
https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LmRpY2UuY29tL2NhcmVlci1hZHZpY2UvYS1pLXNwZWNpYWxpc3Qtcm9ib3RpY3MtZW5naW5lZXItdG9wLWVtZXJnaW5nLWpvYnMtbGlzdNIBAA?oc=5,"A.I. Specialist, Robotics Engineer Top Emerging Jobs List - Dice Insights",2020-12-02
https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vbmV3cy5pdS5lZHUvbGl2ZS9uZXdzLzI3MjgyLWFydGlmaWNpYWwtaW50ZWxsaWdlbmNlLWRlZ3JlZS1hbW9uZy0yLWFwcHJvdmVkLWJ50gEA?oc=5,Artificial intelligence degree among 2 approved by IU trustees - IU Newsroom,2020-12-03
https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vaGl0Y29uc3VsdGFudC5uZXQvMjAyMC8xMi8wMS9vbGl2ZS1haS1kaWdpdGFsLWVtcGxveWVlLWFkZGl0aW9uYWwtZnVuZGluZy_SAQA?oc=5,Olive Hits $1.5B Valuation with Additional $225.5M Funding for AI-Powered Digital Employee Platform - - HIT Consultant,2020-12-01
https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vd3d3LmFhLmNvbS50ci9lbi9ldXJvcGUvc3BhaW4tdG8taW52ZXN0LTcyMG0taW4tYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UvMjA2MzU1NdIBAA?oc=5,Spain to invest $720M in artificial intelligence - Anadolu Agency | English,2020-12-02
https://news.google.com/rss/articles/CBMijgFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL29saXZlLWF0dHJhY3RzLWFkZGl0aW9uYWwtMjI1LTVtbS1pbnZlc3RtZW50LXRvLWZhc3QtdHJhY2stYWktd29ya2ZvcmNlLWZvci1oZWFsdGhjYXJlLTMwMTE4MjA2OS5odG1s0gEA?oc=5,Olive Attracts Additional $225.5MM Investment to Fast-Track AI Workforce For Healthcare - PR Newswire,2020-12-01
https://news.google.com/rss/articles/CBMibWh0dHBzOi8vd3d3LmFuYWx5dGljc2luc2lnaHQubmV0L2F1dG9tYXRpb24vaHlwZXJhdXRvbWF0aW9uLXRvcC0xMC11c2UtY2FzZXMtb2YtZW5kLXRvLWVuZC1hdXRvbWF0aW9uLWluLTIwMjDSAXdodHRwczovL3d3dy5hbmFseXRpY3NpbnNpZ2h0Lm5ldC9hbXAvc3RvcnkvYXV0b21hdGlvbi9oeXBlcmF1dG9tYXRpb24tdG9wLTEwLXVzZS1jYXNlcy1vZi1lbmQtdG8tZW5kLWF1dG9tYXRpb24taW4tMjAyMA?oc=5,Hyperautomation: Top 10 Use Cases of End-to-End Automation in 2020 - Analytics Insight,2020-12-02
https://news.google.com/rss/articles/CBMiO2h0dHBzOi8vd3d3LmRpZ2l0YWx0cmVuZHMuY29tL3dlYi8yMDIwLWFpLW1ham9yLW1pbGVzdG9uZXMv0gE_aHR0cHM6Ly93d3cuZGlnaXRhbHRyZW5kcy5jb20vd2ViLzIwMjAtYWktbWFqb3ItbWlsZXN0b25lcy8_YW1w?oc=5,A.I. hit some major milestones in 2020. Here’s a recap - Digital Trends,2020-12-04
https://news.google.com/rss/articles/CBMiSGh0dHBzOi8vd3d3LnNpbXBsaWxlYXJuLmNvbS91cHNraWxsaW5nLWFuZC1yZXNraWxsaW5nLXN0cmF0ZWdpZXMtYXJ0aWNsZdIBAA?oc=5,Webinar Wrap-up: Upskilling and Re-Skilling Strategies to Create Future-Proof Careers - Simplilearn,2020-12-01
https://news.google.com/rss/articles/CBMihgFodHRwczovL3d3dy5uZXh0Z292LmNvbS9pZGVhcy8yMDIwLzEyL2FydGlmaWNpYWwtaW50ZWxsaWdlbmNlLWdvdmVybm1lbnQtYW5kLXByZXNpZGVudGlhbC10cmFuc2l0aW9uLWJ1aWxkaW5nLXNvbGlkLWZvdW5kYXRpb24vMTcwNDE5L9IBAA?oc=5,Artificial Intelligence in Government and the Presidential Transition: Building on a Solid Foundation - Nextgov/FCW,2020-12-04
https://news.google.com/rss/articles/CBMigQFodHRwczovL3d3dy5leHByZXNzY29tcHV0ZXIuaW4vYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtYWkvcGhvbmVwZS10by1kb3VibGUtdXNlci1iYXNlLWNyZWF0ZS0xMGstbG9jYWwtam9icy1pbi1ydXJhbC1pbmRpYS82OTc1OS_SAYUBaHR0cHM6Ly93d3cuZXhwcmVzc2NvbXB1dGVyLmluL2FtcC9hcnRpZmljaWFsLWludGVsbGlnZW5jZS1haS9waG9uZXBlLXRvLWRvdWJsZS11c2VyLWJhc2UtY3JlYXRlLTEway1sb2NhbC1qb2JzLWluLXJ1cmFsLWluZGlhLzY5NzU5Lw?oc=5,"PhonePe to double user base, create 10K local jobs in rural India - Express Computer",2020-12-03
https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vYmxvZ3MubnZpZGlhLmNvbS9ibG9nL2pldHNvbi1haS1zcGVjaWFsaXN0cy1jZXJ0aWZpY2F0aW9uLXByb2dyYW0v0gEA?oc=5,Jetson Specialists Inspire Exciting AI and Robotics Future - NVIDIA Blog,2020-12-01
https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3LnNocm0ub3JnL3RvcGljcy10b29scy9uZXdzL3RhbGVudC1hY3F1aXNpdGlvbi9uZXcteW9yay1jaXR5LWNvbnNpZGVycy1yZWd1bGF0aW5nLWFpLWhpcmluZy10b29sc9IBAA?oc=5,New York City Considers Regulating AI Hiring Tools - SHRM,2020-12-06
https://news.google.com/rss/articles/CBMigAFodHRwczovL3d3dy5idXNpbmVzc2luc2lkZXIuY29tL2xpdGlnYXRpb24tZnVuZGVycy1kYXRhLWxhd3N1aXRzLXVuZGVyd3JpdGluZy1zY2llbmNlLWFydGlmaWNpYWwtaW50ZWxsaWdlbmNlLWxlZ2FsLXRlY2gtMjAyMC0xMtIBAA?oc=5,Litigation Funders Aren't Ready to Let AI Software Do Their Jobs - Business Insider,2020-12-04
https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3Lml0d2ViLmNvLnphL2FydGljbGUvZW1lcmdpbmctdGVjaG5vbG9neS1jYW4tc29sdmUtc2FzLWVtcGxveW1lbnQtY3Jpc2lzL25XSmFkN2JlTFFwdmJqTzHSAQA?oc=5,Emerging technology can solve SA's employment crisis - ITWeb,2020-12-06
https://news.google.com/rss/articles/CBMiLmh0dHBzOi8vd3d3LmJiYy5jby51ay9uZXdzL3RlY2hub2xvZ3ktNTUxODc2MTHSATJodHRwczovL3d3dy5iYmMuY28udWsvbmV3cy90ZWNobm9sb2d5LTU1MTg3NjExLmFtcA?oc=5,Timnit Gebru: Google staff rally behind fired AI researcher - BBC,2020-12-04
https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vd3d3LmJvcmdlbm1hZ2F6aW5lLmNvbS9tb2hpcmktYWktZm9yLXRoZS1lbXBsb3ltZW50LXByb2Nlc3MtaW4tYm90c3dhbmEv0gEA?oc=5,Mohiri: AI for the Employment Process in Botswana - BORGEN - Borgen Project,2020-12-01
https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vaGl0Y29uc3VsdGFudC5uZXQvMjAyMC8xMi8wMy9vbGl2ZS1hY3F1aXJlcy12ZXJhdGEtaGVhbHRoLXByaW9yLWF1dGhvcml6YXRpb24v0gEA?oc=5,M&A: M&A: Olive Acquires AI Prior Authorization Company Verata Health - - HIT Consultant,2020-12-03
https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vd3d3LnNpbXBsaWxlYXJuLmNvbS9kcmVhbS1jb21wYW5pZXMtZXZlcnktcHJvZmVzc2lvbmFsLWFzcGlyZXMtdG8td29yay1hcnRpY2xl0gEA?oc=5,Top 10 Dream Companies Every Professional Today Aspires to Work For and Why - Simplilearn,2020-12-04
https://news.google.com/rss/articles/CBMingFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL2dsb2JhbC1jb21wYW5pZXMtcGFydG5lci13aXRoLWNvcnJlbGF0aW9uLW9uZS10by1pbmNyZWFzZS1kaXZlcnNpdHktaW4tdGhlLWRhdGEtLWFpLWpvYnMtb2YtdGhlLWZ1dHVyZS0zMDExODI4MzMuaHRtbNIBAA?oc=5,Global Companies Partner with Correlation One to Increase Diversity in the Data & AI Jobs of the Future - PR Newswire,2020-12-01
https://news.google.com/rss/articles/CBMicmh0dHBzOi8vZ3Vlcm5zZXlwcmVzcy5jb20vbmV3cy91ay1uZXdzLzIwMjAvMTIvMDcvYWktd2lsbC1lbXBvd2VyLXNjaWVudGlzdHMtcmF0aGVyLXRoYW4tcmVwbGFjZS10aGVtLWV4cGVydC1zYXlzL9IBAA?oc=5,"AI will empower scientists rather than replace them, expert says - Guernsey Press",2020-12-06
https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vd29tZW5zYWdlbmRhLmNvbS5hdS9sYXRlc3Qvam9iLWhpcmluZy1hbGdvcml0aG1zLWFyZS1kaXNhZHZhbnRhZ2luZy13b21lbi_SAQA?oc=5,Job hiring algorithms bias and disadvantaging women - Women's Agenda,2020-12-01
https://news.google.com/rss/articles/CBMifGh0dHBzOi8vd3d3LnN0cmFpdHN0aW1lcy5jb20vYnVzaW5lc3MvZWNvbm9teS9nZXJtYW4tY2hpcG1ha2VyLWluZmluZW9uLXRvLW1ha2Utc2luZ2Fwb3JlLWl0cy1maXJzdC1nbG9iYWwtYWktaW5ub3ZhdGlvbi1odWLSAQA?oc=5,German chipmaker Infineon to make Singapore its first global hub to embed AI in all job roles - The Straits Times,2020-12-01
