URL link,Title,Date
https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vdG93YXJkc2RhdGFzY2llbmNlLmNvbS9ob3ctdG8tYnVpbGQtYW4tYWktYXVnbWVudGVkLXdvcmtmb3JjZS1jOTIyYzMxNWYzYzLSAQA?oc=5,How to Build an AI-Augmented Workforce | by Alexandre Gonfalonieri - Towards Data Science,2020-06-15
https://news.google.com/rss/articles/CBMicmh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvY29nbml0aXZld29ybGQvMjAyMC8wNi8xNS9hcnRpZmljaWFsLWludGVsbGlnZW5jZS0tZnVsbHktYXV0b21hdGVkLWx1eHVyeS1jYXBpdGFsaXNtL9IBAA?oc=5,"Artificial Intelligence, & Fully Automated Luxury Capitalism - Forbes",2020-06-15
https://news.google.com/rss/articles/CBMiP2h0dHBzOi8vd3d3LnRlY2hvcGVkaWEuY29tL3doZW4td2lsbC1haS1yZXBsYWNlLXdyaXRlcnMvMi8zNDIyNNIBAA?oc=5,When Will AI Replace Writers? - Techopedia,2020-06-15
https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vYWktam9icy1tYXJrZXQtYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtaG93LXNraWxscy0yMDIwLTbSAQA?oc=5,"AI Jobs Market Has Shrunk, but Skills Are Still Needed - Business Insider",2020-06-15
https://news.google.com/rss/articles/CBMiQGh0dHBzOi8vbGVnYWxkZXNpcmUuY29tL3Njb3BlLW9mLWFydGlmaWNpYWwtaW50ZWxsaWdlbmNlLWluLWxhdy_SAQA?oc=5,Scope of Artificial Intelligence in Law - Legal Desire News Network,2020-06-11
https://news.google.com/rss/articles/CBMihwFodHRwczovL3d3dy50aGVuYXRpb25hbG5ld3MuY29tL2J1c2luZXNzL3RlY2hub2xvZ3kvaG93LWJscC1zLWluZHVzdHJpYWwtYWktYWRhcHRlZC10by1nZXQtd29ya2Vycy1iYWNrLXRvLWZhY3Rvcmllcy1pbi1pbmRpYS0xLjEwMzIxMTTSAQA?oc=5,How BLP's industrial AI adapted to get workers back to factories in India - The National,2020-06-11
https://news.google.com/rss/articles/CBMiPmh0dHBzOi8vYmVlYm9tLmNvbS9maXJzdC1haS12cy1odW1hbi1haXJwbGFuZS1maWdodC1uZXh0LXllYXIv0gFCaHR0cHM6Ly9iZWVib20uY29tL2ZpcnN0LWFpLXZzLWh1bWFuLWFpcnBsYW5lLWZpZ2h0LW5leHQteWVhci9hbXAv?oc=5,We Might Witness the First “AI vs Human: Airplane Fight” Next Year - Beebom,2020-06-13
https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vd3d3Lm9ubWFub3JhbWEuY29tL25ld3MvYnVzaW5lc3MvMjAyMC8wNi8xMy9iYWJ1LXNpdmFkYXNhbi1qaWZmeS1mdW5kaW5nLTE4LW1pbGxpb24uaHRtbNIBYGh0dHBzOi8vd3d3Lm9ubWFub3JhbWEuY29tL25ld3MvYnVzaW5lc3MvMjAyMC8wNi8xMy9iYWJ1LXNpdmFkYXNhbi1qaWZmeS1mdW5kaW5nLTE4LW1pbGxpb24uaHRtbA?oc=5,Keralite Babu Sivadasan's Silicon Valley startup JIFFY.ai raises $18 million funding | Business News | Manorama English - Onmanorama,2020-06-13
https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vYmVjb21pbmdodW1hbi5haS93aGF0LWFyZS10aGUtYXBwbGljYXRpb25zLW9mLWFpLWluLXRoZS1mYXNoaW9uLWluZHVzdHJ5LTI0YzM5NGQ3ZDRjMdIBAA?oc=5,What are the applications of AI in the fashion industry? - Becoming Human: Artificial Intelligence Magazine,2020-06-12
https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMTkvMDkvMDYvYnVzaW5lc3MvZmFybWluZy10ZWNobm9sb2d5LWFncmljdWx0dXJlLmh0bWzSAQA?oc=5,How High Tech Is Transforming One of the Oldest Jobs: Farming (Published 2019) - The New York Times,2020-06-13
https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LmhybWFnYXppbmUuY28udWsvY29udGVudC9uZXdzL2hyLWhhcy1hLXBsYWNlLWluLXRoZS1kcml2ZXItcy1zZWF0LW9mLXdvcmtwbGFjZS1hdXRvbWF0aW9uL9IBAA?oc=5,HR has a place in the driver's seat of workplace automation - HR Magazine,2020-06-15
https://news.google.com/rss/articles/CBMiMGh0dHBzOi8vd3d3LmZveGJ1c2luZXNzLmNvbS9wZXJzb24vbS9qdWxpYS1tdXN0b9IBAA?oc=5,Julia Musto - Fox Business,2020-06-11
