URL link,Title,Date
https://news.google.com/rss/articles/CBMimgFodHRwczovL3d3dy5maXJzdHBvc3QuY29tL3RlY2gvdWstd2lsbC1sb3NlLW92ZXItOC1taWxsaW9uLWpvYnMtYmVjYXVzZS1vZi1haS1hbG1vc3QtNjAtcGVyLWNlbnQtam9icy10by1iZS1hZmZlY3RlZC1pZi1wb2xpY2llcy1ub3QtdXBkYXRlZC0xMzc1MzM2Mi5odG1s0gGeAWh0dHBzOi8vd3d3LmZpcnN0cG9zdC5jb20vdGVjaC91ay13aWxsLWxvc2Utb3Zlci04LW1pbGxpb24tam9icy1iZWNhdXNlLW9mLWFpLWFsbW9zdC02MC1wZXItY2VudC1qb2JzLXRvLWJlLWFmZmVjdGVkLWlmLXBvbGljaWVzLW5vdC11cGRhdGVkLTEzNzUzMzYyLmh0bWwvYW1w?oc=5,"UK will lose over 8 million jobs because of AI, almost 60% jobs to be affected if policies not updated - Firstpost",2024-03-27
https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS90ZWNobm9sb2d5LzIwMjQvbWFyLzI3L2FpLWFwb2NhbHlwc2UtY291bGQtdGFrZS1hd2F5LWFsbW9zdC04bS1qb2JzLWluLXVrLXNheXMtcmVwb3J00gFxaHR0cHM6Ly9hbXAudGhlZ3VhcmRpYW4uY29tL3RlY2hub2xvZ3kvMjAyNC9tYXIvMjcvYWktYXBvY2FseXBzZS1jb3VsZC10YWtlLWF3YXktYWxtb3N0LThtLWpvYnMtaW4tdWstc2F5cy1yZXBvcnQ?oc=5,"AI ‘apocalypse’ could take away almost 8m jobs in UK, says report - The Guardian",2024-03-27
https://news.google.com/rss/articles/CBMifmh0dHBzOi8vd3d3LmluZGlhdG9kYXkuaW4vYnVzaW5lc3Mvc3RvcnkvYWktam9icy1hcG9jYWx5cHNlLXVrLTgwLWxha2gtd29ya2Vycy1hdC1yaXNrLWlwcHItcmVzZWFyY2gtcmVwb3J0LTI1MTk5MDctMjAyNC0wMy0yN9IBggFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2FtcC9idXNpbmVzcy9zdG9yeS9haS1qb2JzLWFwb2NhbHlwc2UtdWstODAtbGFraC13b3JrZXJzLWF0LXJpc2staXBwci1yZXNlYXJjaC1yZXBvcnQtMjUxOTkwNy0yMDI0LTAzLTI3?oc=5,"AI could trigger 'jobs apocalypse' in UK, 80 lakh workers at risk: Report - India Today",2024-03-27
https://news.google.com/rss/articles/CBMihwFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS9idXNpbmVzcy9pbmRpYS1idXNpbmVzcy9haS1qb2JzLWdyb3ctdHdpY2UtYXMtZmFzdC1hcy1vdGhlci1kaWdpdGFsLXJvbGVzL2FydGljbGVzaG93LzEwODgzMzk1OC5jbXPSAYsBaHR0cHM6Ly90aW1lc29maW5kaWEuaW5kaWF0aW1lcy5jb20vYnVzaW5lc3MvaW5kaWEtYnVzaW5lc3MvYWktam9icy1ncm93LXR3aWNlLWFzLWZhc3QtYXMtb3RoZXItZGlnaXRhbC1yb2xlcy9hbXBfYXJ0aWNsZXNob3cvMTA4ODMzOTU4LmNtcw?oc=5,AI jobs grow twice as fast as other digital roles - The Times of India,2024-03-28
https://news.google.com/rss/articles/CBMiS2h0dHBzOi8vbmV3cy5ub3J0aGVhc3Rlcm4uZWR1LzIwMjQvMDMvMjkvYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2Utd29ya3BsYWNlL9IBAA?oc=5,How to Prepare for a Workforce Transformed by AI - Northeastern University,2024-03-29
https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vY29tbW9ud2VhbHRoYmVhY29uLm9yZy9vcGluaW9uL3N1cnByaXNlLW5vdC1lbm91Z2gtc2tpbGxlZC13b3JrZXJzLXRvLWZpbGwtYWktam9icy_SAQA?oc=5,Surprise -- not enough skilled workers to fill AI jobs - CommonWealth Beacon,2024-03-31
https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vc21lc3RyZWV0LmluL3RlY2hub2xvZ3kvYWktY29hY2gtcmV2b2x1dGlvbml6aW5nLXdvcmtmb3JjZS1kZXZlbG9wbWVudC00NDMyMDA00gFWaHR0cHM6Ly9zbWVzdHJlZXQuaW4vdGVjaG5vbG9neS9haS1jb2FjaC1yZXZvbHV0aW9uaXppbmctd29ya2ZvcmNlLWRldmVsb3BtZW50LTQ0MzIwMDQ?oc=5,AI Coach: Revolutionizing Workforce Development - SMEStreet,2024-03-29
https://news.google.com/rss/articles/CBMiSGh0dHBzOi8vd3d3Lmhya2F0aGEuY29tL25ld3MvY2FuLWFpLXNuYXRjaC1qb2JzLW9mLTgtbWlsbGlvbi1pbi1icml0YWluL9IBAA?oc=5,Can AI snatch jobs from 8 million in Britain? - HRKatha,2024-03-27
https://news.google.com/rss/articles/CBMikgFodHRwczovL3d3dy5tb25leWNvbnRyb2wuY29tL25ld3MvdGVjaG5vbG9neS9haS1pcy1nb2luZy10by1jaGFuZ2Utam9icy1hcy13ZS1rbm93LWl0LWJ1dC1pdC13aWxsLWNyZWF0ZS1uZXctam9icy1hZG9iZXMtYWpheS1qb3NlcGgtMTI1MzkwMDEuaHRtbNIBlgFodHRwczovL3d3dy5tb25leWNvbnRyb2wuY29tL25ld3MvdGVjaG5vbG9neS9haS1pcy1nb2luZy10by1jaGFuZ2Utam9icy1hcy13ZS1rbm93LWl0LWJ1dC1pdC13aWxsLWNyZWF0ZS1uZXctam9icy1hZG9iZXMtYWpheS1qb3NlcGgtMTI1MzkwMDEuaHRtbC9hbXA?oc=5,"AI is going to change jobs as we know it, but it will create new jobs: Adobe’s Ajay Joseph - Moneycontrol",2024-03-28
https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vd3d3LnRlY2hvcGVkaWEuY29tL25ld3MvdWstZmFjZXMtYWktYXBvY2FseXBzZS04LW1pbGxpb24tam9icy1hdC1yaXNr0gEA?oc=5,UK Faces AI Apocalypse: 8 Million Jobs at Risk - Techopedia,2024-03-27
