URL link,Title,Date
https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LmNpby5jb20vYXJ0aWNsZS8xOTE3NzYvYWktcHJlc2VudHMtZ292ZXJuYW5jZS1xdWVzdGlvbnMtZm9yLW56LWl0LWxlYWRlcnMuaHRtbNIBWmh0dHBzOi8vd3d3LmNpby5jb20vYXJ0aWNsZS8xOTE3NzYvYWktcHJlc2VudHMtZ292ZXJuYW5jZS1xdWVzdGlvbnMtZm9yLW56LWl0LWxlYWRlcnMuaHRtbA?oc=5,AI presents governance questions for NZ IT leaders - CIO,2021-05-26
https://news.google.com/rss/articles/CBMijwFodHRwczovL3d3dy5idXNpbmVzcy1zdGFuZGFyZC5jb20vYXJ0aWNsZS90ZWNobm9sb2d5L2luZGlhLWlzLWF0LXRoZS1jdXNwLW9mLWFpLWlubm92YXRpb24taW5mb3N5cy1jaGFpcm1hbi1uYW5kYW4tbmlsZWthbmktMTIxMDUyODAxMjY4XzEuaHRtbNIBkwFodHRwczovL3d3dy5idXNpbmVzcy1zdGFuZGFyZC5jb20vYW1wL2FydGljbGUvdGVjaG5vbG9neS9pbmRpYS1pcy1hdC10aGUtY3VzcC1vZi1haS1pbm5vdmF0aW9uLWluZm9zeXMtY2hhaXJtYW4tbmFuZGFuLW5pbGVrYW5pLTEyMTA1MjgwMTI2OF8xLmh0bWw?oc=5,India is at the cusp of AI innovation: Infosys chairman Nandan Nilekani - Business Standard,2021-05-28
https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvY2FsdW1jaGFjZS8yMDIxLzA1LzI3L3RoZS1pbXBhY3Qtb2YtYWktb24tZGVsaXZlcnktYnVzaW5lc3Nlcy_SAQA?oc=5,The Impact of AI on Delivery Businesses - Forbes,2021-05-27
https://news.google.com/rss/articles/CBMidmh0dHBzOi8vd3d3LmFuYWx5dGljc2luc2lnaHQubmV0L2FydGlmaWNpYWwtaW50ZWxsaWdlbmNlL2hvdy13aWxsLWFydGlmaWNpYWwtaW50ZWxsaWdlbmNlLWNoYW5nZS10aGUtZnV0dXJlLWZvci1iZXR0ZXLSAYABaHR0cHM6Ly93d3cuYW5hbHl0aWNzaW5zaWdodC5uZXQvYW1wL3N0b3J5L2FydGlmaWNpYWwtaW50ZWxsaWdlbmNlL2hvdy13aWxsLWFydGlmaWNpYWwtaW50ZWxsaWdlbmNlLWNoYW5nZS10aGUtZnV0dXJlLWZvci1iZXR0ZXI?oc=5,How Will Artificial Intelligence Change the Future for Better? - Analytics Insight,2021-05-31
https://news.google.com/rss/articles/CBMigQFodHRwczovL3d3dy5hY3R1aWEuY29tL2VuZ2xpc2gvc3BvcnQtYWktam9icy1pbmR1c3RyeS13aGVyZS10by1maW5kLXRoZS1uZXctaXNzdWUtb2YtYWN0dWlhLXRoZS1hcnRpZmljaWFsLWludGVsbGlnZW5jZS1tYWdhemluZS_SAQA?oc=5,"Sport, AI jobs, industry: where to find the new issue of ActuIA, the artificial intelligence magazine - Intelligence artificielle - Actu IA",2021-05-31
https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vd3d3Lml0cHJvLmNvbS90ZWNobm9sb2d5L2FydGlmaWNpYWwtaW50ZWxsaWdlbmNlLWFpLzM1OTU1Ny9pcy1haS1tYWtpbmctdXMtbGF6edIBAA?oc=5,Is AI making us lazy? - ITPro,2021-05-29
https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vd3d3LnBvbGl0aWNvLmV1L2FydGljbGUvYWktd29ya3BsYWNlLXN1cnZlaWxsYW5jZS1mYWNpYWwtcmVjb2duaXRpb24tc29mdHdhcmUtZ2Rwci1wcml2YWN5L9IBAA?oc=5,Your boss is watching: How AI-powered surveillance rules the workplace - POLITICO Europe,2021-05-27
https://news.google.com/rss/articles/CBMijgFodHRwczovL3d3dy50aGVuYXRpb25hbG5ld3MuY29tL2J1c2luZXNzL3RlY2hub2xvZ3kvcm9iby1zYXBpZW5zLWVyYS13aWxsLWZvcmNlLTEwMC1taWxsaW9uLXdvcmtlcnMtdG8tc3dpdGNoLWpvYnMtYnktMjAzMC1ib2ZhLXNheXMtMS4xMjMyMzY40gEA?oc=5,"'Robo-sapiens' era will force 100 million workers to switch jobs by 2030, BofA says - The National",2021-05-30
https://news.google.com/rss/articles/CBMiPGh0dHBzOi8vdGltZS5jb20vNjA1MDkyMS9hcnRpZmljaWFsLWludGVsbGlnZW5jZS1haXItdHJhdmVsL9IBAA?oc=5,"Travel Is Coming Back, and Artificial Intelligence May Be Planning Your Next Flight - TIME",2021-05-25
https://news.google.com/rss/articles/CBMilQFodHRwczovL3d3dy5mb3JiZXNpbmRpYS5jb20vYXJ0aWNsZS9qb2JzLW9mLXRoZS1uZXh0LWRlY2FkZS9pbmR1c3RyeS1sZWFkZXJzLWVsdWNpZGF0ZS1qb2JzLW9mLXRoZS1uZXh0LWRlY2FkZS1hdC1mb3JiZXMtaW5kaWEtaW5kZWVkLXdlYmluYXIvNjgxMzUvMdIBAA?oc=5,Industry leaders elucidate Jobs of the Next Decade at Forbes India - Indeed webinar - Forbes India,2021-05-25
https://news.google.com/rss/articles/CBMirAFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL2xpYnJlc3RyZWFtLXVudmVpbHMtd29ya2ZvcmNlLWNvbGxhYm9yYXRpb24tYW5kLWtub3dsZWRnZS1zaGFyaW5nLWVuaGFuY2VtZW50cy1hcy1wYXJ0LW9mLWFpLWNvbm5lY3RlZC1leHBlcnQtdmlzaW9uLTMwMTMwMDcxNy5odG1s0gEA?oc=5,Librestream Unveils Workforce Collaboration and Knowledge-Sharing Enhancements as Part of AI Connected Expert ... - PR Newswire,2021-05-27
https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vZmFjdWx0eS1haS1zdGFydHVwLWJyZXhpdC1jYW1wYWlnbi11cy1leHBhbnNpb24tMjAyMS010gEA?oc=5,Faculty: AI Startup That Worked on Brexit Campaign to Expand to US - Business Insider,2021-05-27
https://news.google.com/rss/articles/CBMidWh0dHBzOi8vbS5lY29ub21pY3RpbWVzLmNvbS9qb2JzL3BtYXktY3JlYXRlcy1vdmVyLTEtMi1jcm9yZS1lbXBsb3ltZW50LW9wcG9ydHVuaXRpZXMtc28tZmFyL2FydGljbGVzaG93LzgzMDY0NTc5LmNtc9IBeWh0dHBzOi8vbS5lY29ub21pY3RpbWVzLmNvbS9qb2JzL3BtYXktY3JlYXRlcy1vdmVyLTEtMi1jcm9yZS1lbXBsb3ltZW50LW9wcG9ydHVuaXRpZXMtc28tZmFyL2FtcF9hcnRpY2xlc2hvdy84MzA2NDU3OS5jbXM?oc=5,PMAY creates over 1.2 crore employment opportunities so far - IndiaTimes,2021-05-29
https://news.google.com/rss/articles/CBMiNGh0dHBzOi8vd3d3Lm1ha2V1c2VvZi5jb20vam9icy1zYWZlLWZyb20tYXV0b21hdGlvbi_SAQA?oc=5,These 5 Jobs Might Be Safe From Automation in the Future - MUO - MakeUseOf,2021-05-29
https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vc3R1ZHlmaW5kcy5vcmcvb2ZmaWNlLXdvcmtlcnMtYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtYXV0b21hdGlvbi_SAQA?oc=5,"Two-thirds of office workers say job is 'painfully monotonous,' agree AI would benefit them - - Study Finds",2021-05-27
https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vbmV4dGJpZ2lkZWFjbHViLmNvbS9tYWdhemluZS9mdXR1cmVwcm9vZi05LXJ1bGVzLWh1bWFucy1hZ2UtYXV0b21hdGlvbi1ib29rYml0ZS8yNzUxMC_SAWJodHRwczovL25leHRiaWdpZGVhY2x1Yi5jb20vbWFnYXppbmUvZnV0dXJlcHJvb2YtOS1ydWxlcy1odW1hbnMtYWdlLWF1dG9tYXRpb24tYm9va2JpdGUvMjc1MTAvYW1wLw?oc=5,Futureproof: 9 Rules for Humans in the Age of Automation - Next Big Idea Club Magazine,2021-05-27
https://news.google.com/rss/articles/CBMie2h0dHBzOi8vd3d3LmRhaWx5bWFpbC5jby51ay9zY2llbmNldGVjaC9hcnRpY2xlLTk2MjY2MDEvV2FpdGVycy1zaGVsZi1maWxsZXJzLXJldGFpbC1hc3Npc3RhbnRzLWxpa2VseS1yZXBsYWNlZC1yb2JvdHMuaHRtbNIBf2h0dHBzOi8vd3d3LmRhaWx5bWFpbC5jby51ay9zY2llbmNldGVjaC9hcnRpY2xlLTk2MjY2MDEvYW1wL1dhaXRlcnMtc2hlbGYtZmlsbGVycy1yZXRhaWwtYXNzaXN0YW50cy1saWtlbHktcmVwbGFjZWQtcm9ib3RzLmh0bWw?oc=5,"Waiters, shelf fillers and retail assistants are most likely to be replaced with robots - Daily Mail",2021-05-28
https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vYWNjZWxlcmF0aW9uZWNvbm9teS5jb20vYXV0b21hdGlvbi9iYXRjaC1wcm9jZXNzaW5nLXdpdGgtbWljcm9zb2Z0LWR5bmFtaWNzLTM2NS1mb3ItZmluYW5jZS_SAQA?oc=5,Batch Processing with Microsoft Dynamics 365 for Finance - Acceleration Economy,2021-05-27
https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LmJiYy5jb20vd29ya2xpZmUvYXJ0aWNsZS8yMDIxMDUyNi10aGUtZ2xvc3N5LWRyZWFtLWpvYnMtdGhhdC1iZWNvbWUtbmlnaHRtYXJlc9IBAA?oc=5,The 'glossy' dream jobs that become nightmares - BBC.com,2021-05-26
