,URL link,Title,Date,Preprocessed Title,Value,Sentiment
0,https://news.google.com/rss/articles/CBMiVWh0dHBzOi8vd3d3LnRlY2hub2xvZ3lyZXZpZXcuY29tLzIwMTMvMDYvMTIvMTc4MDA4L2hvdy10ZWNobm9sb2d5LWlzLWRlc3Ryb3lpbmctam9icy_SAVlodHRwczovL3d3dy50ZWNobm9sb2d5cmV2aWV3LmNvbS8yMDEzLzA2LzEyLzE3ODAwOC9ob3ctdGVjaG5vbG9neS1pcy1kZXN0cm95aW5nLWpvYnMvYW1wLw?oc=5,How Technology Is Destroying Jobs - MIT Technology Review,2013-06-12,technology destroying job,"{'neg': 0.643, 'neu': 0.357, 'pos': 0.0, 'compound': -0.5574}",Negative
1,https://news.google.com/rss/articles/CBMidGh0dHBzOi8vaGJyLm9yZy8yMDEzLzA5L25hdGUtc2lsdmVyLW9uLWZpbmRpbmctYS1tZW50b3ItdGVhY2hpbmcteW91cnNlbGYtc3RhdGlzdGljcy1hbmQtbm90LXNldHRsaW5nLWluLXlvdXItY2FyZWVy0gEA?oc=5,"Nate Silver on Finding a Mentor, Teaching Yourself Statistics, and Not Settling in Your Career - HBR.org Daily",2013-09-24,"nate silver finding mentor , teaching statistic , settling career","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
2,https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vYmxvZy5nb29nbGUvdGVjaG5vbG9neS9yZXNlYXJjaC9tYXBwaW5nLWNyZWF0ZXMtam9icy1hbmQtZHJpdmVzLWdsb2JhbC_SAQA?oc=5,Mapping creates jobs and drives global economic growth - The Keyword | Google Product and Technology News,2013-01-30,mapping creates job drive global economic growth,"{'neg': 0.0, 'neu': 0.515, 'pos': 0.485, 'compound': 0.5719}",Positive
3,https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3Lm5ld3lvcmtlci5jb20vdGVjaC9hbm5hbHMtb2YtdGVjaG5vbG9neS93aHktd2Utc2hvdWxkLXRoaW5rLWFib3V0LXRoZS10aHJlYXQtb2YtYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2XSAQA?oc=5,Why We Should Think About the Threat of Artificial Intelligence - The New Yorker,2013-10-24,think threat artificial intelligence,"{'neg': 0.4, 'neu': 0.235, 'pos': 0.365, 'compound': -0.0772}",Negative
4,https://news.google.com/rss/articles/CBMiMWh0dHBzOi8vd3d3LndpcmVkLmNvbS8yMDEzLzA0L2t1cnp3ZWlsLWdvb2dsZS1haS_SAQA?oc=5,How Ray Kurzweil Will Help Google Make the Ultimate AI Brain - WIRED,2013-04-25,ray kurzweil help google make ultimate ai brain,"{'neg': 0.0, 'neu': 0.722, 'pos': 0.278, 'compound': 0.4019}",Positive
5,https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vbmV3cy5taXQuZWR1LzIwMTMvaHVtYW5zLXJvYm90cy1pbnRlcmFjdGlvbi1jcm9zcy10cmFpbmluZy0wMjEx0gEA?oc=5,Humans and robots work better together following cross-training - MIT News,2013-02-11,human robot work better together following cross,"{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.4404}",Positive
6,https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMTMvMDQvMDUvc2NpZW5jZS9uZXctdGVzdC1mb3ItY29tcHV0ZXJzLWdyYWRpbmctZXNzYXlzLWF0LWNvbGxlZ2UtbGV2ZWwuaHRtbNIBAA?oc=5,New Test for Computers: Grading Essays at College Level - The New York Times,2013-04-04,new test computer : grading essay college level,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
7,https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS90ZWNobm9sb2d5LzIwMTMvb2N0LzIwL2FydGlmaWNpYWwtaW50ZWxsaWdlbmNlLWltcGFjdC1saXZlc9IBV2h0dHBzOi8vYW1wLnRoZWd1YXJkaWFuLmNvbS90ZWNobm9sb2d5LzIwMTMvb2N0LzIwL2FydGlmaWNpYWwtaW50ZWxsaWdlbmNlLWltcGFjdC1saXZlcw?oc=5,"Smart robots, driverless cars work – but they bring ethical issues too - The Guardian",2013-10-20,"smart robot , driverless car work – bring ethical issue","{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.7184}",Positive
8,https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vd3d3LmNpdHlhbS5jb20vYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2Utd2lsbC1kZXN0cm95LWpvYnMtdGVjaG5vbG9naWNhbC1wZXNzaW1pc20td3Jvbmcv0gEA?oc=5,Artificial Intelligence will destroy jobs – but technological pessimism is wrong - CityAM - City A.M.,2013-09-04,artificial intelligence destroy job – technological pessimism wrong,"{'neg': 0.599, 'neu': 0.197, 'pos': 0.204, 'compound': -0.7184}",Negative
9,https://news.google.com/rss/articles/CBMicmh0dHBzOi8vd3d3Lm5ld2luZGlhbmV4cHJlc3MuY29tL2VudGVydGFpbm1lbnQvcmV2aWV3LzIwMTMvT2N0LzIyL2JlaW5nLWluLWFpLWlzLWxpa2UtYmVpbmctYm9ybi1hZ2Fpbi01MjkxMTMuaHRtbNIBfGh0dHBzOi8vd3d3Lm5ld2luZGlhbmV4cHJlc3MuY29tL2FtcC9zdG9yeS9lbnRlcnRhaW5tZW50L3Jldmlldy8yMDEzL09jdC8yMi9iZWluZy1pbi1haS1pcy1saWtlLWJlaW5nLWJvcm4tYWdhaW4tNTI5MTEzLmh0bWw?oc=5,'Being in Ai is like being born again' - The New Indian Express,2013-10-22,'being ai like born ',"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.3612}",Positive
