,URL link,Title,Date,Preprocessed Title,Value,Sentiment
0,https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vbmV3cy5zdHRob21hcy5lZHUvYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtYW5kLWl0cy1pbXBhY3Qtb24tam9icy_SAQA?oc=5,Artificial Intelligence and Its Impact on Jobs - Newsroom | University of St. Thomas - University of St. Thomas Newsroom,2020-11-19,artificial intelligence impact job,"{'neg': 0.0, 'neu': 0.492, 'pos': 0.508, 'compound': 0.4767}",Positive
1,https://news.google.com/rss/articles/CBMia2h0dHBzOi8vd3d3LmFuYWx5dGljc2luc2lnaHQubmV0L2FydGlmaWNpYWwtaW50ZWxsaWdlbmNlL2hvdy13aWxsLWJlLXRoZS1haS1qb2ItbWFya2V0LWZhcmUtaW4tY29taW5nLXllYXJz0gF1aHR0cHM6Ly93d3cuYW5hbHl0aWNzaW5zaWdodC5uZXQvYW1wL3N0b3J5L2FydGlmaWNpYWwtaW50ZWxsaWdlbmNlL2hvdy13aWxsLWJlLXRoZS1haS1qb2ItbWFya2V0LWZhcmUtaW4tY29taW5nLXllYXJz?oc=5,How Will Be The AI Job Market Fare In Coming Years? - Analytics Insight,2020-11-23,ai job market fare coming year ?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
2,https://news.google.com/rss/articles/CBMifmh0dHBzOi8vY2lvLmVjb25vbWljdGltZXMuaW5kaWF0aW1lcy5jb20vbmV3cy9uZXh0LWdlbi10ZWNobm9sb2dpZXMvaG93LWFpLWlzLWhlbHBpbmctbWFrZS1lbXBsb3llZXMtaGFwcHktYXQtZ2VucGFjdC83OTE4MzQxONIBAA?oc=5,How AI is helping make employees happy at Genpact - ETCIO,2020-11-12,ai helping make employee happy genpact,"{'neg': 0.0, 'neu': 0.404, 'pos': 0.596, 'compound': 0.7096}",Positive
3,https://news.google.com/rss/articles/CBMiemh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvdG9tZGF2ZW5wb3J0LzIwMjAvMTEvMTAvdGhlLWZ1dHVyZS1vZi13b3JrLW5vdy1haS1hc3Npc3RlZC13cml0aW5nLXdpdGgtd3JpdGVyY29tLWFuZC1pbnR1aXQv0gEA?oc=5,The Future Of Work Now: AI-Assisted Writing With Writer.com And Intuit - Forbes,2020-11-10,future work : ai,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
4,https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vbWl0c2xvYW4ubWl0LmVkdS9pZGVhcy1tYWRlLXRvLW1hdHRlci93aGF0LW1pY3Jvc29mdHMtc2F0eWEtbmFkZWxsYS10aGlua3MtYWJvdXQtd29yay1mdXR1cmXSAQA?oc=5,What Microsoft’s Satya Nadella thinks about work of the future - MIT Sloan News,2020-11-24,microsoft ’ satya nadella think work future,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
5,https://news.google.com/rss/articles/CBMieWh0dHBzOi8vd3d3Lm9yZm9ubGluZS5vcmcvcmVzZWFyY2gvY3Jvc3Nyb2Fkcy1vZi1hcnRpZmljaWFsLWludGVsbGlnZW5jZS1oaWdoZXItZWR1Y2F0aW9uLWFuZC1yZXNlYXJjaC1pbi1pbmRpYS1hbmQtY2hpbmHSAQA?oc=5,Crossroads of Artificial Intelligence: Higher Education and Research in India and China - Observer Research Foundation,2020-11-11,crossroad artificial intelligence : higher education research india china,"{'neg': 0.0, 'neu': 0.693, 'pos': 0.307, 'compound': 0.4767}",Positive
6,https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vYnVpbHRpbi5jb20vYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2Uvd2hlbi1pdC1jb21lcy1haS1kb250LWdldC10cmFwcGVkLW1hZ2ljLWJveNIBAA?oc=5,Don't Let AI Trap You in the Magic Box - Built In,2020-11-23,n't let ai trap magic box,"{'neg': 0.0, 'neu': 0.718, 'pos': 0.282, 'compound': 0.2411}",Positive
7,https://news.google.com/rss/articles/CBMicmh0dHBzOi8vd3d3LnRlY2h0YXJnZXQuY29tL3NlYXJjaGVudGVycHJpc2VhaS9mZWF0dXJlL1doeS1BSS1saXRlcmFjeS1pcy1jcml0aWNhbC1ldmVuLWZvci1ub24tdGVjaG5pY2FsLWVtcGxveWVlc9IBAA?oc=5,"Why AI literacy is critical, even for non-technical employees - TechTarget",2020-11-18,"ai literacy critical , even non","{'neg': 0.365, 'neu': 0.635, 'pos': 0.0, 'compound': -0.3182}",Negative
8,https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vYW5hbHl0aWNzaW5kaWFtYWcuY29tL2lzLWFpLW1ha2luZy1wZW9wbGUtbG9zZS1hLXNlbnNlLW9mLWFjaGlldmVtZW50L9IBAA?oc=5,Is AI Making People Lose A Sense Of Achievement - Analytics India Magazine,2020-11-27,ai making people lose sense achievement,"{'neg': 0.351, 'neu': 0.649, 'pos': 0.0, 'compound': -0.4019}",Negative
9,https://news.google.com/rss/articles/CBMilwFodHRwczovL3d3dy5idXNpbmVzcy1zdGFuZGFyZC5jb20vY29udGVudC9wcmVzcy1yZWxlYXNlcy1hbmkvc29jaWFsLXByYWNoYXItcmVkZWZpbmluZy1jYXJlZXItb3JpZW50ZWQtZWR1Y2F0aW9uLWluLWFpLWRhdGEtc2NpZW5jZS0xMjAxMTA2MDEwMTlfMS5odG1s0gGbAWh0dHBzOi8vd3d3LmJ1c2luZXNzLXN0YW5kYXJkLmNvbS9hbXAvY29udGVudC9wcmVzcy1yZWxlYXNlcy1hbmkvc29jaWFsLXByYWNoYXItcmVkZWZpbmluZy1jYXJlZXItb3JpZW50ZWQtZWR1Y2F0aW9uLWluLWFpLWRhdGEtc2NpZW5jZS0xMjAxMTA2MDEwMTlfMS5odG1s?oc=5,"Social Prachar: Redefining career oriented education in AI, Data Science - Business Standard",2020-11-06,"social prachar : redefining career oriented education ai , data science","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
10,https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3LnNocm0ub3JnL3RvcGljcy10b29scy9uZXdzL3RlY2hub2xvZ3kvNS10aXBzLXRvLWhlbHAtd29ya2Vycy11cHNraWxsLWFkYXB0LXRvLWFydGlmaWNpYWwtaW50ZWxsaWdlbmNl0gEA?oc=5,5 Tips to Help Workers Upskill and Adapt to Artificial Intelligence - SHRM,2020-11-29,5 tip help worker upskill adapt artificial intelligence,"{'neg': 0.0, 'neu': 0.463, 'pos': 0.537, 'compound': 0.7003}",Positive
11,https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vc2VjdXJpdHlpbnRlbGxpZ2VuY2UuY29tL3Bvc3RzL2hvdy1haS1tYWtlcy1qb2JzLWluLWN5YmVyc2VjdXJpdHktbGVzcy1zdHJlc3NmdWwv0gEA?oc=5,How AI Can Make Cybersecurity Jobs Less Stressful and More Fulfilling - Security Intelligence,2020-11-16,ai make cybersecurity job le stressful fulfilling,"{'neg': 0.355, 'neu': 0.645, 'pos': 0.0, 'compound': -0.5106}",Negative
12,https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vd3d3LndpcmVkLmNvbS9zdG9yeS9haS1jYW4tcnVuLXdvcmstbWVldGluZ3Mtbm93LWhlYWRyb29tLWNsb2Nrd2lzZS_SAQA?oc=5,AI Can Run Your Work Meetings Now - WIRED,2020-11-24,ai run work meeting,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
13,https://news.google.com/rss/articles/CBMiM2h0dHBzOi8vaGFpLnN0YW5mb3JkLmVkdS9uZXdzL3ByZXBhcmluZy1mdXR1cmUtd29ya9IBAA?oc=5,Preparing for the Future of Work - Stanford HAI,2020-11-11,preparing future work,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
14,https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LmJyb29raW5ncy5lZHUvYXJ0aWNsZXMvaG93LWFpLWJvdHMtYW5kLXZvaWNlLWFzc2lzdGFudHMtcmVpbmZvcmNlLWdlbmRlci1iaWFzL9IBAA?oc=5,How AI bots and voice assistants reinforce gender bias | Brookings - Brookings Institution,2020-11-23,ai bot voice assistant reinforce gender bias | brookings,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.1027}",Negative
15,https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3Lm1pY3Jvc29mdC5jb20vZW4tdXMvcG93ZXItcGxhdGZvcm0vYmxvZy8yMDIwLzExLzMwL3dhbnQtYS10ZWNoLWpvYi1idXQtZG9udC1oYXZlLXRpbWUtdG8tbGVhcm4tdG8tY29kZS_SAQA?oc=5,"Want a tech job, but don’t have time to learn to code? - Microsoft",2020-11-30,"want tech job , ’ time learn code ?","{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.0772}",Positive
16,https://news.google.com/rss/articles/CBMigAFodHRwczovL3d3dy5mb3JiZXMuY29tL3NpdGVzL2pvZW1ja2VuZHJpY2svMjAyMC8xMS8xNS9pdHMtbWFuYWdlcnMtbm90LXdvcmtlcnMtd2hvLWFyZS1sb3Npbmctam9icy10by1haS1hbmQtcm9ib3RzLXN0dWR5LXNob3dzL9IBAA?oc=5,"It's Managers, Not Workers, Who Are Losing Jobs To AI And Robots, Study Shows - Forbes",2020-11-15,"'s manager , worker , losing job ai robot , study show","{'neg': 0.245, 'neu': 0.755, 'pos': 0.0, 'compound': -0.3818}",Negative
17,https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LnRlY2h0YXJnZXQuY29tL3NlYXJjaGVudGVycHJpc2VhaS9mZWF0dXJlL0FJLW1pZ2h0LW5vdC1oYXZlLXJpZ2h0cy1idXQtaXQtY291bGQtcGF5LXRheGVz0gEA?oc=5,"AI might not have rights, but it could pay taxes - TechTarget",2020-11-06,"ai might right , could pay tax","{'neg': 0.219, 'neu': 0.781, 'pos': 0.0, 'compound': -0.1027}",Negative
18,https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvYXBhcm5hZGhpbmFrYXJhbi8yMDIwLzExLzE3L3dvbWVuLWluLWFpLXRvLXdhdGNoL9IBAA?oc=5,Women In AI To Watch - Forbes,2020-11-17,woman ai watch,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
19,https://news.google.com/rss/articles/CBMiNWh0dHBzOi8vbmV3cy5taXQuZWR1LzIwMjAvZnV0dXJlLXdvcmstY29uZmVyZW5jZS0xMTIw0gEA?oc=5,Why we shouldn't fear the future of work - MIT News,2020-11-20,n't fear future work,"{'neg': 0.0, 'neu': 0.533, 'pos': 0.467, 'compound': 0.3875}",Positive
20,https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vcGV0YXBpeGVsLmNvbS8yMDIwLzExLzEyL2FpLWFuZC10aGUtYmF0dGxlLWZvci10aGUtZnV0dXJlLW9mLXBob3RvLWVkaXRpbmcv0gEA?oc=5,AI and the Battle for the Future of Photo Editing - PetaPixel,2020-11-12,ai battle future photo editing,"{'neg': 0.394, 'neu': 0.606, 'pos': 0.0, 'compound': -0.3818}",Negative
21,https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vdGhlYXJhYndlZWtseS5jb20vc2F1ZGktYXJhYmlhLWludmVzdC0yMC1iaWxsaW9uLWFydGlmaWNpYWwtaW50ZWxsaWdlbmNlLXByb2plY3Rz0gEA?oc=5,Saudi Arabia to invest $20 billion in artificial intelligence projects | | AW - The Arab Weekly,2020-11-20,saudi arabia invest $ 20 billion artificial intelligence project | | aw,"{'neg': 0.0, 'neu': 0.721, 'pos': 0.279, 'compound': 0.4767}",Positive
