,URL link,Title,Date,Preprocessed Title,Value,Sentiment
0,https://news.google.com/rss/articles/CBMiogFodHRwczovL2luZGlhbmV4cHJlc3MuY29tL2FydGljbGUvYnVzaW5lc3MvYWktY291bGQtaW1wZXJpbC1zYWxhcmllcy1ub3Qtam9icy13aHktZmluZGluZ3Mtb2YtbmV3LWVjYi1zdHVkeS1jb250cmFzdC13aXRoLW91dGNvbWVzLW9mLXByZXZpb3VzLXRlY2gtd2F2ZXMtOTA0ODIwMi_SAacBaHR0cHM6Ly9pbmRpYW5leHByZXNzLmNvbS9hcnRpY2xlL2J1c2luZXNzL2FpLWNvdWxkLWltcGVyaWwtc2FsYXJpZXMtbm90LWpvYnMtd2h5LWZpbmRpbmdzLW9mLW5ldy1lY2Itc3R1ZHktY29udHJhc3Qtd2l0aC1vdXRjb21lcy1vZi1wcmV2aW91cy10ZWNoLXdhdmVzLTkwNDgyMDIvbGl0ZS8?oc=5,"AI could imperil salaries, not jobs; Why findings of new ECB study contrast with outcomes of previous tech waves - The Indian Express",2023-11-30,"ai could imperil salary , job ; finding new ecb study contrast outcome previous tech wave","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
1,https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vd3d3LmltZi5vcmcvZW4vQmxvZ3MvQXJ0aWNsZXMvMjAyMy8xMS8zMC9GYW5kRC10aGUtQUktYXdha2VuaW5n0gEA?oc=5,The AI Awakening - International Monetary Fund,2023-11-30,ai awakening,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
2,https://news.google.com/rss/articles/CBMikgFodHRwczovL3d3dy5idXNpbmVzcy1zdGFuZGFyZC5jb20vdGVjaG5vbG9neS90ZWNoLW5ld3MvZ2VuLWFpLWxpa2VseS10by1oYXZlLW1vcmUtaW1wYWN0LW9uLXdoaXRlLWNvbGxhci1qb2JzLXRoYW4tYmx1ZS1jb2xsYXItMTIzMTEyNzAxMDM1XzEuaHRtbNIBlgFodHRwczovL3d3dy5idXNpbmVzcy1zdGFuZGFyZC5jb20vYW1wL3RlY2hub2xvZ3kvdGVjaC1uZXdzL2dlbi1haS1saWtlbHktdG8taGF2ZS1tb3JlLWltcGFjdC1vbi13aGl0ZS1jb2xsYXItam9icy10aGFuLWJsdWUtY29sbGFyLTEyMzExMjcwMTAzNV8xLmh0bWw?oc=5,Gen AI likely to have more impact on white-collar jobs than blue-collar - Business Standard,2023-11-27,gen ai likely impact white,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
3,https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vd3d3LmRlY2NhbmhlcmFsZC5jb20vYnVzaW5lc3MvYWktd2lsbC1ub3QtdGFrZS15b3VyLWpvYi1zb21lYm9keS13aG8ta25vd3MtdG8tdXNlLWFpLXdpbGwtMjc4NjkwMdIBAA?oc=5,'AI will not take your job. Somebody who knows to use AI will' - Deccan Herald,2023-11-27,'ai take job . somebody know use ai ',"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
4,https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvZWxpYW1kdXIvMjAyMy8xMS8yNS9qb2JzLWFpLWp1c3QtY2FudC1kby_SAQA?oc=5,Jobs AI Just Can't Do - Forbes,2023-11-25,job ai ca n't,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
5,https://news.google.com/rss/articles/CBMid2h0dHBzOi8vd3d3LmJiYy5jb20vd29ya2xpZmUvYXJ0aWNsZS8yMDIzMTEyOC1haS1wb3dlcmVkLWRpZ2l0YWwtY29sbGVhZ3Vlcy1hcmUtaGVyZS1zb21lLXNhZmUtam9icy1jb3VsZC1iZS12dWxuZXJhYmxl0gEA?oc=5,AI-powered digital colleagues are here. Some 'safe' jobs could be vulnerable. - BBC.com,2023-11-30,ai,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
6,https://news.google.com/rss/articles/CBMiSmh0dHBzOi8va25vd2xlZGdlLmluc2VhZC5lZHUvZW50cmVwcmVuZXVyc2hpcC9haS1jb21pbmctYWxsLW91ci1qb2JzLW9yLWl00gEA?oc=5,AI Is Coming for All Our Jobs... Or Is It? - INSEAD Knowledge,2023-11-28,ai coming job ... ?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
7,https://news.google.com/rss/articles/CBMiswFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbWFnYXppbmVzL3BhbmFjaGUvYmlsbC1nYXRlcy1wcmVkaWN0cy0zLWRheS13b3JrLXdlZWstZm9yLWh1bWFuaXR5LXNheXMtYWktY291bGQtbGVhZC10by1hLXNvY2lldHktd2l0aC1yZWR1Y2VkLW1hbnVhbC1sYWJvdXIvYXJ0aWNsZXNob3cvMTA1NDYyNDQ3LmNtc9IBtwFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbWFnYXppbmVzL3BhbmFjaGUvYmlsbC1nYXRlcy1wcmVkaWN0cy0zLWRheS13b3JrLXdlZWstZm9yLWh1bWFuaXR5LXNheXMtYWktY291bGQtbGVhZC10by1hLXNvY2lldHktd2l0aC1yZWR1Y2VkLW1hbnVhbC1sYWJvdXIvYW1wX2FydGljbGVzaG93LzEwNTQ2MjQ0Ny5jbXM?oc=5,"Bill Gates predicts 3-day work week for humanity, says AI could lead to a society with reduced manual labo - IndiaTimes",2023-11-24,bill gate predicts 3,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
8,https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vd3d3LnRlY2hvcGVkaWEuY29tL2VtcGxveW1lbnQtdHJlbmRzLTIwMjQtZW1icmFjaW5nLXVwc2tpbGxpbmctaW4tYW4tYWktZHJpdmVuLXdvcmxk0gEA?oc=5,Employment Trends 2024: Upskilling in an AI-Driven World - Techopedia,2023-11-27,employment trend 2024 : upskilling ai,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
9,https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vZW50ZXJwcmlzZXRhbGsuY29tL2ZlYXR1cmVkL2FydGlmaWNpYWwtaW50ZWxsaWdlbmNlLWEtYmxlc3Npbmctb3ItYmFuZS1mb3ItdGhlLWVtcGxveWVlc9IBAA?oc=5,Artificial Intelligence: A Blessing or Bane for the Employees? - EnterpriseTalk,2023-11-29,artificial intelligence : blessing bane employee ?,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.743}",Positive
10,https://news.google.com/rss/articles/CBMimQFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL3RlY2hub2xvZ3kvbmV3cy9zdG9yeS9haS1jYW4tZG8tNDYtcGVyLWNlbnQtd29yay1vZi1hY2NvdW50YW50cy1hbmQtYm9va2tlZXBlcnMtcmlza3Mtam9icy10YWtlb3Zlci1pbi1pbmRpYS0yNDY4ODMzLTIwMjMtMTEtMjnSAZ0BaHR0cHM6Ly93d3cuaW5kaWF0b2RheS5pbi9hbXAvdGVjaG5vbG9neS9uZXdzL3N0b3J5L2FpLWNhbi1kby00Ni1wZXItY2VudC13b3JrLW9mLWFjY291bnRhbnRzLWFuZC1ib29ra2VlcGVycy1yaXNrcy1qb2JzLXRha2VvdmVyLWluLWluZGlhLTI0Njg4MzMtMjAyMy0xMS0yOQ?oc=5,"AI can do 46 per cent work of accountants and bookkeepers, risks jobs takeover in India - India Today",2023-11-29,"ai 46 per cent work accountant bookkeeper , risk job takeover india","{'neg': 0.174, 'neu': 0.826, 'pos': 0.0, 'compound': -0.2732}",Negative
11,https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vd3d3LnZvYW5ld3MuY29tL2EvaXMtYWktYWJvdXQtdG8tc3RlYWwteW91ci1qb2ItLzczNjYxNzMuaHRtbNIBR2h0dHBzOi8vd3d3LnZvYW5ld3MuY29tL2FtcC9pcy1haS1hYm91dC10by1zdGVhbC15b3VyLWpvYi0vNzM2NjE3My5odG1s?oc=5,Is AI About to Steal Your Job? - Voice of America - VOA News,2023-11-28,ai steal job ?,"{'neg': 0.615, 'neu': 0.385, 'pos': 0.0, 'compound': -0.4939}",Negative
12,https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vY3NldC5nZW9yZ2V0b3duLmVkdS9wdWJsaWNhdGlvbi9hc3Nlc3NpbmctY2hpbmFzLWFpLXdvcmtmb3JjZS_SAQA?oc=5,Assessing China's AI Workforce - Center for Security and Emerging Technology,2023-11-29,assessing china 's ai workforce,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
13,https://news.google.com/rss/articles/CBMitQFodHRwczovL3d3dy5idXNpbmVzc3RvZGF5LmluL3RlY2hub2xvZ3kvbmV3cy9zdG9yeS9nZW5lcmF0aXZlLWFpLXRvLXJlcGxhY2UtNDYtb2YtdGltZS1zcGVudC1vbi1hY2NvdW50aW5nLXRhc2tzLWluLWluZGlhLWltcGFjdC1vZi1haS1vbi13aGl0ZS12cy1ibHVlLWNvbGxhci1qb2JzLTQwNzMyOC0yMDIzLTExLTI40gEA?oc=5,Generative AI to replace 46% of time spent on accounting tasks in India; impact of AI on white vs blue-collar jobs - Business Today,2023-11-28,generative ai replace 46 % time spent accounting task india ; impact ai white v blue,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
14,https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vZXRpbnNpZ2h0cy5ldC1lZGdlLmNvbS9jYW4tYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtYmUtYS10aHJlYXQtdG8tbWFya2V0aW5nLWpvYnMv0gFdaHR0cHM6Ly9ldGluc2lnaHRzLmV0LWVkZ2UuY29tL2Nhbi1hcnRpZmljaWFsLWludGVsbGlnZW5jZS1iZS1hLXRocmVhdC10by1tYXJrZXRpbmctam9icy9hbXAv?oc=5,Can artificial intelligence be a threat to marketing jobs? - ET Edge Insights - ET Edge Insights,2023-11-24,artificial intelligence threat marketing job ?,"{'neg': 0.358, 'neu': 0.316, 'pos': 0.326, 'compound': -0.0772}",Negative
15,https://news.google.com/rss/articles/CBMiVWh0dHBzOi8vd3d3LmZhc3Rjb21wYW55LmNvbS85MDk4ODgxMy9saW5rZWRpbi1haS1hdC13b3JrLWFydGlmaWNpYWwtaW50ZWxsaWdlbmNlLWpvYnPSAQA?oc=5,"The industry talking the most about AI jobs is not tech, according to LinkedIn - Fast Company",2023-11-27,"industry talking ai job tech , according linkedin","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
16,https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5pbi9jYXJlZXJzL25ld3Mvd2hpdGUtY29sbGFyLXJvbGVzLW1vcmUtYXQtdGhyZWF0LWZyb20tYWkvYXJ0aWNsZXNob3cvMTA1NTY2NjI4LmNtc9IBc2h0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5pbi9jYXJlZXJzL25ld3Mvd2hpdGUtY29sbGFyLXJvbGVzLW1vcmUtYXQtdGhyZWF0LWZyb20tYWkvYW1wX2FydGljbGVzaG93LzEwNTU2NjYyOC5jbXM?oc=5,White collar roles more at threat from AI - Business Insider India,2023-11-28,white collar role threat ai,"{'neg': 0.459, 'neu': 0.541, 'pos': 0.0, 'compound': -0.5267}",Negative
17,https://news.google.com/rss/articles/CBMilgFodHRwczovL2Npby5lY29ub21pY3RpbWVzLmluZGlhdGltZXMuY29tL25ld3MvYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UvZ2VuZXJhdGl2ZS1haS10by1yZXBsYWNlLTQ2LW9mLXRpbWUtc3BlbnQtb24tYWNjb3VudGluZy10YXNrcy1pbi1pbmRpYS8xMDU1NDk0MzHSAZoBaHR0cHM6Ly9jaW8uZWNvbm9taWN0aW1lcy5pbmRpYXRpbWVzLmNvbS9hbXAvbmV3cy9hcnRpZmljaWFsLWludGVsbGlnZW5jZS9nZW5lcmF0aXZlLWFpLXRvLXJlcGxhY2UtNDYtb2YtdGltZS1zcGVudC1vbi1hY2NvdW50aW5nLXRhc2tzLWluLWluZGlhLzEwNTU0OTQzMQ?oc=5,Generative AI to replace 46% of time spent on accounting tasks in India - ETCIO,2023-11-28,generative ai replace 46 % time spent accounting task india,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
18,https://news.google.com/rss/articles/CBMihwFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vam9icy9oci1wb2xpY2llcy10cmVuZHMvZ2VuZXJhdGl2ZS1haS1hLWJpZ2dlci10aHJlYXQtdG8tc2VsZWN0LXdoaXRlLWNvbGxhci1qb2JzL2FydGljbGVzaG93LzEwNTUyMTgyMC5jbXPSAYsBaHR0cHM6Ly9tLmVjb25vbWljdGltZXMuY29tL2pvYnMvaHItcG9saWNpZXMtdHJlbmRzL2dlbmVyYXRpdmUtYWktYS1iaWdnZXItdGhyZWF0LXRvLXNlbGVjdC13aGl0ZS1jb2xsYXItam9icy9hbXBfYXJ0aWNsZXNob3cvMTA1NTIxODIwLmNtcw?oc=5,Generative AI a bigger threat to select white-collar jobs - IndiaTimes,2023-11-27,generative ai bigger threat select white,"{'neg': 0.405, 'neu': 0.595, 'pos': 0.0, 'compound': -0.5267}",Negative
19,https://news.google.com/rss/articles/CBMidmh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvam9lbWNrZW5kcmljay8yMDIzLzExLzI5L292ZXJjb21pbmctYWlzLXN0YXJrLWdlbmRlci1pbWJhbGFuY2UtdGltZS1mb3ItYS1mcmVzaC1hcHByb2FjaC_SAQA?oc=5,Overcoming AI's Stark Gender Imbalance: Time For A Fresh Approach - Forbes,2023-11-29,overcoming ai 's stark gender imbalance : time fresh approach,"{'neg': 0.0, 'neu': 0.777, 'pos': 0.223, 'compound': 0.3182}",Positive
20,https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9haS9pbmRpYXMtYXBwcm9hY2gtdG8tcmVndWxhdGluZy1haS1pcy1nb29kLXNheXMtYW5kcmV3LW5nLTExNzAwNzQ3ODIwMTQ5Lmh0bWzSAWtodHRwczovL3d3dy5saXZlbWludC5jb20vYWkvaW5kaWFzLWFwcHJvYWNoLXRvLXJlZ3VsYXRpbmctYWktaXMtZ29vZC1zYXlzLWFuZHJldy1uZy9hbXAtMTE3MDA3NDc4MjAxNDkuaHRtbA?oc=5,"India's approach to regulating AI is good, says Andrew Ng | Mint - Mint",2023-11-24,"india 's approach regulating ai good , say andrew ng | mint","{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}",Positive
21,https://news.google.com/rss/articles/CBMif2h0dHBzOi8vd3d3LmZpbmFuY2lhbGV4cHJlc3MuY29tL2pvYnMtY2FyZWVyL2VkdWNhdGlvbi10aGUtYmVuZWZpdHMtb2YtcHVyc3VpbmctYW4tYWR2YW5jZWQtY2VydGlmaWNhdGlvbi1pbi1haS1hbmQtbWwtMzMyMTI5Mi_SAYQBaHR0cHM6Ly93d3cuZmluYW5jaWFsZXhwcmVzcy5jb20vam9icy1jYXJlZXIvZWR1Y2F0aW9uLXRoZS1iZW5lZml0cy1vZi1wdXJzdWluZy1hbi1hZHZhbmNlZC1jZXJ0aWZpY2F0aW9uLWluLWFpLWFuZC1tbC0zMzIxMjkyL2xpdGUv?oc=5,The benefits of pursuing an Advanced Certification in AI and ML - The Financial Express,2023-11-30,benefit pursuing advanced certification ai ml,"{'neg': 0.0, 'neu': 0.444, 'pos': 0.556, 'compound': 0.6124}",Positive
