URL link,Title,Date,Source,Source Link,description,keywords,og:description,twitter:description,mainEntityOfPage,datePublished,name,author,publisher,image,headline,@type,hasPart,isAccessibleForFree,@context,article:section,article:summary,article text,dateModified,speakable
https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3LmNvbXB1dGVyd2Vla2x5LmNvbS9kZS9tZWludW5nL0tJLVdhcy1zaWNoLUFsYW4tVHVyaW5nLW5pY2h0LXZvcnN0ZWxsZW4ta29ubnRl0gEA?oc=5,KI: Was sich Alan Turing nicht vorstellen konnte - Computer Weekly,2019-12-23,Computer Weekly,https://www.computerweekly.com,"Der Vater der künstlichen Intelligenz konnte sich manche Entwicklungen nicht vorstellen. Alan Turing dachte bei seinen Forschungen nicht an die Cloud, autonome Fahrzeuge oder moderne Roboter.",N/A,"Alan Turing starb 1954. Viele seiner Vorhersagen zur künstlichen Intelligenz treffen heute noch zu, meint Jeff Aaron von Juniper Networks.","Alan Turing starb 1954. Viele seiner Vorhersagen zur künstlichen Intelligenz treffen heute noch zu, meint Jeff Aaron von Juniper Networks.","{'@type': 'WebPage', '@id': 'https://www.computerweekly.com/de/meinung/KI-Was-sich-Alan-Turing-nicht-vorstellen-konnte'}",2019-12-23T23:00Z,KI: Was sich Alan Turing nicht vorstellen konnte,"[{'name': 'Jeff Aaron, Juniper Networks', '@type': 'Person'}]","{'name': 'ComputerWeekly.com/de', 'logo': {'url': 'https://cdn.ttgtmedia.com/rms/amp/amp_cw_german_logo_266x60.png', 'height': 60, 'width': 266, '@type': 'ImageObject'}, '@type': 'Organization'}",https://cdn.ttgtmedia.com/visuals/German/article/turin-test-enigma-adobe.jpg,KI: Was sich Alan Turing nicht vorstellen konnte,Article,"{'cssSelector': '.paywall', '@type': 'WebPageElement', 'isAccessibleForFree': False}",False,https://schema.org,N/A,N/A,"


francesco chiesa - stock.adobe.c
francesco chiesa - stock.adobe.c





Meinung


KI: Was sich Alan Turing nicht vorstellen konnte


Der Vater der künstlichen Intelligenz konnte sich manche Entwicklungen nicht vorstellen. Alan Turing dachte bei seinen Forschungen nicht an die Cloud, autonome Fahrzeuge oder moderne Roboter.





Teilen Sie diesen Inhalt mit Ihrem Netzwerk:





















































von


Jeff Aaron, Juniper Networks


Zuletzt aktualisiert:23 Dez. 2019


 
Alan Turing gilt heute zu Recht als der Vater der künstlichen Intelligenz (KI). Er kombinierte mathematische Studien mit der Informatik und war der Erste, der behauptete, dass Computer irgendwann wie Menschen denken könnten. Seine Arbeit hinsichtlich des Konzepts, dass Maschinen Aufgaben menschlicher Experten bei gleicher Qualität übernehmen könnten, ist bis heute richtungsweisend und ein grundlegendes Konzept der modernen KI. Angesichts des hohen Interesses an KI während der letzten Jahre ist Turing heute berühmter als zum Zeitpunkt seines Todes im Jahr 1954.







Turing legte die theoretischen Grundlagen für die von ihm sogenannten denkenden Computer. Sie legen ein intelligentes Verhalten an den Tag, das von dem des Menschen kaum zu unterscheiden ist. Seine Forschungen verfolgte Turing allerdings vor mehr als 65 Jahren – einige seiner Vorhersagen sind immer noch auf der Höhe der Zeit, während er andere Fortschritte der heutigen Zeit noch nicht prognostizieren konnte. Daher ist es interessant, zu schauen, welche Trends und Technologien Turing korrekt vorhergesagt hat – und was sich seinen Vorstellungen komplett entzog.

Für Turing existierte die Cloud nur als Wattebausch am Himmel
Heute bietet die Cloud eine enorme Daten-Speicherkapazität und Rechenleistung, die den Fortschritt der KI in allen Branchen vorantreibt. Dazu gehören Industrien wie Automobil, Gesundheitswesen, Finanzen sowie Bildung und Einzelhandel. Turing war klar, dass die von ihm vorhergesehenen digitalen Computermaschinen höhere Speicher- und Verarbeitungskapazitäten benötigen würden, als die Magnetstreifen der damals verfügbaren Bänder. In seinem Vortrag an der London Mathematical Society von 1947 sagte Turing, dass ein „unendliches Gedächtnis notwendig wäre, das die heutige Bandtechnologie des Tages unpraktisch machen würde“.
Er schien jedoch zu denken, dass die beste Möglichkeit ein fortschrittlicheres Band wäre. Schließlich waren Bänder die Spitzentechnologie seiner Zeit. Ansonsten gab es Innovationen wie die „Ladungsmuster auf dem Bildschirm einer Kathodenstrahlröhre“. Turing konnte nicht erahnen, dass sich Cloud Computing entwickeln und Technologie wie KI weiter nach vorne treiben würde. Analysten von Deloitte ermittelten, dass bei 70 Prozent aller Unternehmen, die KI implementiert haben, die Technologie über die Cloud ausgeliefert wird. (Dies ist sicherlich keine Kritik an Turing. Wer dachte bis in die 1990er Jahre an die Cloud?)


Das Jahr hat der Turing-Test falsch vorausgesagt, aber...
In seinem 1950 veröffentlichten wissenschaftlichen Artikel (der heute als KI-Manifest schlechthin gilt) sagte Turing voraus, dass Computer um das Jahr 2000 in der Lage sein würden, Fragen ähnlich wie Menschen zu beantworten – wenn ein Mensch diese stellt. Bis heute hat zwar keine Maschine die strengste Version des Turing-Tests bestanden, einige kommen ihr allerdings schon sehr nahe. Sie bestehen beispielsweise den Test, Fragen auf Augenhöhe der Experten in entsprechenden Kategorien zu beantworten. Prominentes Beispiel ist hier IBM Watson und Jeopardy. Allerdings gibt es noch nicht viele Rechner, die diesen Test bestehen.
Computer sind aber heute bereits sehr viel intelligenter, als Turing es sich vorgestellt hat. Autonom fahrende Fahrzeuge, moderne Roboter, Bilderkennung und auf Algorithmen basierter Handel mögen den Turing-Test nicht im engsten Sinne bestehen, sind aber bemerkenswerte Beispiele für den Fortschritt künstlicher Intelligenz. 
Turing hat sich nicht vorstellen können, wie ausgereift KI werden würde. Dazu gehören Deep-Learning-Fähigkeiten, die Rechnern die Möglichkeit geben, die Informationsverarbeitungsmuster des menschlichen Gehirns zu erlernen und nachzuahmen. Dank der heutigen fortschrittlichen KI-Technologien lernen Maschinen nicht primär vom Menschen, sondern von Daten. Ihr Erfolg hängt von der Qualität der Daten ab – und nicht von der Intelligenz des Programmierers. Dies ist ein typischer Sprung des 21. Jahrhunderts hinsichtlich der Denkweise.
Turing hat aus Sicht vieler Wissenschaftler das Konzept der KI in groben Zügen verstanden. Er schrieb beispielsweise, dass eine intelligente Maschine „wie ein Schüler viel von seinem Meister lernt, aber durch seine eigene Arbeit sich noch deutlich mehr Wissen aneignet“. Andererseits sprach er auch davon, dass „die Maschine Kontakt zum Menschen haben muss, damit sie sich an seine Standards anpassen kann“ – nur dann handelt es sich wirklich um künstliche Intelligenz. Allerdings könnten Maschinen künftig weniger vom Menschen lernen, als von der Masse an Daten, auf die sie Zugriff erhalten.


Werden Maschinen den Menschen ersetzen?
Aus den Reden von Alan Turing geht nicht hervor, ob er sich Gedanken gemacht hat, ob intelligente Maschinen das Potenzial hätten, die Arbeit von Menschen zu leisten. Als mathematischer Theoretiker sah er eher das Potenzial der Computer, immer intelligenter zu werden.




„Dank der heutigen fortschrittlichen KI-Technologien lernen Maschinen nicht primär vom Menschen, sondern von Daten. Ihr Erfolg hängt von der Qualität der Daten ab und nicht von der Intelligenz des Programmierers.“
Jeff Aaron, Juniper Networks

Die heutige Diskussion, ob KI Arbeitsplätze zerstört oder neue, heute noch nicht bekannte Berufe ermöglicht, konnte er nicht vorhersehen. Einen Hinweis gibt es jedoch: Turing sah die künstliche Intelligenz, wie sie später genannt werden sollte, als Gelegenheit, „den Schwerpunkt des menschlichen Interesses in eine philosophische Richtung zu lenken, die darüber nachdenkt, was prinzipiell möglich ist“. Mit anderen Worten: Die Maschinen sollten menschliche Kreativität freisetzen. Das ist es, worum es bei KI gehen sollte.
Turing hatte nicht mit allen Prognosen recht und konnte sich natürlich das Leben im 21. Jahrhundert nicht detailliert vorstellen. Er war aber ein Prophet der Informatik, der sah, in welcher Art und Weise künstliche Intelligenz die Welt verändern kann – und dadurch einen großen Anteil an diesen Veränderungen hatte.
Über den Autor: Jeff Aaron ist seit April 2019 Vice President Enterprise Marketing bei Juniper Networks. Zuvor war er rund dreieinhalb Jahre als Vice President of Worldwide Marketing bei MIST Systems tätig. Hier war er insbesondere für den Aufbau und Leitung aller globalen Marketingaspekte für MIST im Zuge der Übernahme des Unternehmens durch Juniper im April 2019 zuständig. Jeff Aaron verfügt über eine breite und vielschichtige Expertise in allen unternehmensrelevanten Marketingfragen.
Die Autoren sind für den Inhalt und die Richtigkeit ihrer Beiträge selbst verantwortlich. Die dargelegten Meinungen geben die Ansichten der Autoren wieder.


Nächste Schritte
Wie künstliche Intelligenz Entscheidungen trifft
Künstliche Intelligenzen in einer vernetzen Welt
Kriterien für die Wahl einer Machine-Learning-Plattform





Erfahren Sie mehr über Business Intelligence



Neues Niveau in der Buchhaltung durch KI





Künstliche Intelligenz (KI)




Von: Linda Tucci




Computerlinguistik (CL)




Von: Corinne  Bernstein




Die Zukunft der Quanten-KI: Ethische Aspekte und Folgen








News


Die Cyberangriffe der KW27/2024 im Überblick


regreSSHion: OpenSSH-Schwachstelle betrifft viele Server


Kostenloses E-Handbook: Ratgeber für die Cloud-Migration


Alle News ansehen





Ähnliche Inhalte


Turing-Test
– ComputerWeekly.de


So optimiert Cohesity Turing Data Protection und ...
– ComputerWeekly.de


CAPTCHA
– ComputerWeekly.de









",,
https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3LmRldXRzY2hsYW5kZnVuay5kZS93YXMtaXN0LWRlci1tZW5zY2gtZGllLWtyb25lLWRlci1zY2hvZXBmdW5nLXdhY2tlbHQtMTAwLmh0bWzSAQA?oc=5,Was ist der Mensch? - Die Krone der Schöpfung wackelt - Deutschlandfunk,2019-12-26,Deutschlandfunk,https://www.deutschlandfunk.de,"Roboter zeigen Gefühle, künstliche Intelligenz erobert den Alltag, Designer-Babies haben gute Marktchancen. Der herkömmliche Mensch sieht alt aus. Ist er nichts Besonderes mehr? Viele kreative Fähigkeiten haben nur wir Menschen, sagen Experten. Wir sollten sie für ethische Überlegungen nutzen.",N/A,"Roboter zeigen Gefühle, künstliche Intelligenz erobert den Alltag, Designer-Babies haben gute Marktchancen. Der herkömmliche Mensch sieht alt aus. Ist er nichts Besonderes mehr? Viele kreative Fähigkeiten haben nur wir Menschen, sagen Experten. Wir sollten sie für ethische Überlegungen nutzen.","Roboter zeigen Gefühle, künstliche Intelligenz erobert den Alltag, Designer-Babies haben gute Marktchancen. Der herkömmliche Mensch sieht alt aus. Ist er nichts Besonderes mehr? Viele kreative Fähigkeiten haben nur wir Menschen, sagen Experten. Wir sollten sie für ethische Überlegungen nutzen.",,,,,,,,,,,,N/A,N/A,"



Nahostkonflikt
Aktuelle Lage und Hintergründe
Der Überfall der palästinensischen Terrororganisation Hamas im Oktober 2023 auf Israel hat in der Region wieder die Gewalt entfacht. Israel möchte die Hamas zerstören. Diese wird wie die Hisbollah im Libanon vom Iran unterstützt.
",,
https://news.google.com/rss/articles/CBMihwFodHRwczovL3d3dy5zcG9ydDEuZGUvbmV3cy9pbnRlcm5hdGlvbmFsZXItZnVzc2JhbGwvcHJlbWllci1sZWFndWUvMjAxOS8xMi9mYy1saXZlcnBvb2wtYXJiZWl0ZXQtbWl0LWl0LWZpcm1hLXp1c2FtbWVuLWJhbGQtcm9ib2NvYWNoZXPSAQA?oc=5,"Für Klopps FC Liverpool: Millionär will ""Robo-Trainer erschaffen"" - SPORT1",2019-12-23,SPORT1,https://www.sport1.de,"Der FC Liverpool kooperiert mit einer IT-Firma, die an Roboter-Trainern arbeitet. Die Möglichkeiten klingen visionär - ohne ein Menschen-Modell wie Klopp.",N/A,"Der FC Liverpool kooperiert mit einer IT-Firma, die an Roboter-Trainern arbeitet. Die Möglichkeiten klingen visionär - ohne ein Menschen-Modell wie Klopp.",N/A,"{'@id': 'https://www.sport1.de', '@type': 'WebPage'}",2019-12-22T21:51:00.000Z,,"[{'@type': 'Organization', 'image': 'https://reshape.sport1.de/c/t/0645fbe8-07af-48fc-b1c2-c7d8018d148a/660x371', 'name': 'SPORT1'}]","{'@type': 'Organization', 'image': 'https://www.sport1.de/favicon-196x196.png', 'name': 'SPORT1', 'url': 'https://www.sport1.de'}","[{'@type': 'ImageObject', 'height': '675', 'url': 'https://reshape.sport1.de/c/t/d5a24d41-1b0b-4d12-9c5e-a786e76b72bc/1200x675', 'width': '1200'}, {'@type': 'ImageObject', 'height': '900', 'url': 'https://reshape.sport1.de/c/t/d5a24d41-1b0b-4d12-9c5e-a786e76b72bc/1200x900', 'width': '1200'}, {'@type': 'ImageObject', 'height': '1200', 'url': 'https://reshape.sport1.de/c/t/d5a24d41-1b0b-4d12-9c5e-a786e76b72bc/1200x1200', 'width': '1200'}]","Für Klopps FC Liverpool: Millionär will ""Robo-Trainer erschaffen""",NewsArticle,,,https://schema.org,N/A,N/A,N/A,2019-12-23T15:19:24.000Z,"{'@type': 'SpeakableSpecification', 'cssSelector': ['h1', ""[data-speakable='article-headline']"", ""[data-speakable='article-abstract']""]}"
