URL link,Title,Date,Source,Source Link,description,keywords,og:description,twitter:description,@context,@graph,article:section,article:summary,article text,@type,about,alternativeHeadline,articleSection,author,commentCount,copyrightHolder,copyrightYear,dateModified,datePublished,discussionUrl,hasPart,headline,identifier,image,inLanguage,isAccessibleForFree,isFamilyFriendly,isPartOf,mainEntityOfPage,provider,publisher,sourceOrganization,thumbnailUrl,timeRequired,url,version,wordCount,@id,additionalType,itemListElement
https://news.google.com/rss/articles/CBMidGh0dHBzOi8vbmV3cy5taWNyb3NvZnQuY29tL2RlLWRlL2Jlc3Nlci1sZXNlbi1taXQta2kta3VlbnN0bGljaGUtaW50ZWxsaWdlbnotdW50ZXJzdHVldHp0LWltLXZpcnR1ZWxsZW4ta2xhc3NlbnJhdW0v0gEA?oc=5,Besser lesen mit KI: Künstliche Intelligenz unterstützt im virtuellen Klassenraum | News Center Microsoft - Microsoft News,2020-08-31,Microsoft News,https://news.microsoft.com,Der Immersive Reader und weitere Azure AI Sprachdienste bieten Lernenden und Lehrenden intelligente Tools für die Arbeit mit Texten.,N/A,Der Immersive Reader und weitere Azure AI Sprachdienste bieten Lernenden und Lehrenden intelligente Tools für die Arbeit mit Texten.,Der Immersive Reader und weitere Azure AI Sprachdienste bieten Lernenden und Lehrenden intelligente Tools für die Arbeit mit Texten.,https://schema.org,"[{'@type': 'WebPage', '@id': 'https://news.microsoft.com/de-de/besser-lesen-mit-ki-kuenstliche-intelligenz-unterstuetzt-im-virtuellen-klassenraum/', 'url': 'https://news.microsoft.com/de-de/besser-lesen-mit-ki-kuenstliche-intelligenz-unterstuetzt-im-virtuellen-klassenraum/', 'name': 'Besser lesen mit KI: Künstliche Intelligenz unterstützt im virtuellen Klassenraum | News Center Microsoft', 'isPartOf': {'@id': 'https://news.microsoft.com/de-de/#website'}, 'primaryImageOfPage': {'@id': 'https://news.microsoft.com/de-de/besser-lesen-mit-ki-kuenstliche-intelligenz-unterstuetzt-im-virtuellen-klassenraum/#primaryimage'}, 'image': {'@id': 'https://news.microsoft.com/de-de/besser-lesen-mit-ki-kuenstliche-intelligenz-unterstuetzt-im-virtuellen-klassenraum/#primaryimage'}, 'thumbnailUrl': 'https://news.microsoft.com/wp-content/uploads/prod/sites/40/2020/08/FeatureImage_Immersive-Reader.jpg', 'datePublished': '2020-08-31T09:11:37+00:00', 'dateModified': '2020-08-31T09:11:37+00:00', 'author': {'@id': 'https://news.microsoft.com/de-de/#/schema/person/987f4ab99784e70d0b88a30a86585371'}, 'description': 'Der Immersive Reader und weitere Azure AI Sprachdienste bieten Lernenden und Lehrenden intelligente Tools für die Arbeit mit Texten.', 'breadcrumb': {'@id': 'https://news.microsoft.com/de-de/besser-lesen-mit-ki-kuenstliche-intelligenz-unterstuetzt-im-virtuellen-klassenraum/#breadcrumb'}, 'inLanguage': 'de-DE', 'potentialAction': [{'@type': 'ReadAction', 'target': ['https://news.microsoft.com/de-de/besser-lesen-mit-ki-kuenstliche-intelligenz-unterstuetzt-im-virtuellen-klassenraum/']}]}, {'@type': 'ImageObject', 'inLanguage': 'de-DE', '@id': 'https://news.microsoft.com/de-de/besser-lesen-mit-ki-kuenstliche-intelligenz-unterstuetzt-im-virtuellen-klassenraum/#primaryimage', 'url': 'https://news.microsoft.com/wp-content/uploads/prod/sites/40/2020/08/FeatureImage_Immersive-Reader.jpg', 'contentUrl': 'https://news.microsoft.com/wp-content/uploads/prod/sites/40/2020/08/FeatureImage_Immersive-Reader.jpg', 'width': 960, 'height': 640, 'caption': 'Schülerin lernt mit Hilfe eines Laptops und des Immersive Reader lesen, während ihr Lehrer daneben sitzt'}, {'@type': 'BreadcrumbList', '@id': 'https://news.microsoft.com/de-de/besser-lesen-mit-ki-kuenstliche-intelligenz-unterstuetzt-im-virtuellen-klassenraum/#breadcrumb', 'itemListElement': [{'@type': 'ListItem', 'position': 1, 'name': 'Home', 'item': 'https://news.microsoft.com/de-de/'}, {'@type': 'ListItem', 'position': 2, 'name': 'Recent News', 'item': 'https://news.microsoft.com/de-de/recent-news/'}, {'@type': 'ListItem', 'position': 3, 'name': 'Besser lesen mit KI: Künstliche Intelligenz unterstützt im virtuellen Klassenraum'}]}, {'@type': 'WebSite', '@id': 'https://news.microsoft.com/de-de/#website', 'url': 'https://news.microsoft.com/de-de/', 'name': 'Newsroom Microsoft Deutschland', 'description': '', 'potentialAction': [{'@type': 'SearchAction', 'target': {'@type': 'EntryPoint', 'urlTemplate': 'https://news.microsoft.com/de-de/?s={search_term_string}'}, 'query-input': 'required name=search_term_string'}], 'inLanguage': 'de-DE'}, {'@type': 'Person', '@id': 'https://news.microsoft.com/de-de/#/schema/person/987f4ab99784e70d0b88a30a86585371', 'name': 'Pina Meisel', 'image': {'@type': 'ImageObject', 'inLanguage': 'de-DE', '@id': 'https://news.microsoft.com/de-de/#/schema/person/image/80e43f1c19dec20d46921822549c072a', 'url': 'https://secure.gravatar.com/avatar/c9f299111138d7bc501d96ceb1e40133?s=96&d=mm&r=g', 'contentUrl': 'https://secure.gravatar.com/avatar/c9f299111138d7bc501d96ceb1e40133?s=96&d=mm&r=g', 'caption': 'Pina Meisel'}, 'url': 'https://news.microsoft.com/de-de/author/pmeiselmicrosoft-com/'}]",N/A,N/A,"


			3. Juli 2024		

		Wir feiern Frauen, die inspirieren: Die Gewinnerinnen des Microsoft Deutschland „Power Women“ Award 2024	

Letzte Woche haben wir die Gewinner des „Partner of the Year”-Award bekannt gegeben. Doch es gibt noch mehr zu feiern: Mit dem Microsoft „Power Women”-Award, der Teil unseres kontinuierlichen Engagements ist, feiern wir weibliche Tech-Talente.


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vd3d3LmhlaXNlLmRlL25ld3MvS3Vyei1pbmZvcm1pZXJ0LUtJLUNhbXB1cy1Ucmlja2JvdC1Gb3J0bml0ZS1UaGUtV2l0Y2hlci00ODgwNTI2Lmh0bWzSAQA?oc=5,"Kurz informiert: KI-Campus, Trickbot, Fortnite, The Witcher - heise online",2020-08-27,heise online,https://www.heise.de,AdModule,"Apple, Emotet, Epic Games, Fortnite, Künstliche Intelligenz, Ransomware, The Witcher, Trickbot",Unser werktäglicher News-Überblick fasst die wichtigsten Nachrichten des Tages kurz und knapp zusammen.,Unser werktäglicher News-Überblick fasst die wichtigsten Nachrichten des Tages kurz und knapp zusammen.,https://schema.org,,N/A,N/A,,ItemList,"[{'@id': 'https://www.heise.de/thema/Apple', '@type': 'Thing', 'name': 'Apple'}, {'@id': 'https://www.heise.de/thema/Emotet', '@type': 'Thing', 'name': 'Emotet'}, {'@id': 'https://www.heise.de/thema/Epic-Games', '@type': 'Thing', 'name': 'Epic Games'}, {'@id': 'https://www.heise.de/thema/K%C3%BCnstliche-Intelligenz', '@type': 'Thing', 'name': 'Künstliche Intelligenz'}, {'@id': 'https://www.heise.de/thema/Malware', '@type': 'Thing', 'name': 'Malware'}, {'@id': 'https://www.heise.de/thema/Ransomware', '@type': 'Thing', 'name': 'Ransomware'}, {'@id': 'https://www.heise.de/thema/Unternehmen', '@type': 'Thing', 'name': 'Unternehmen'}, {'@id': 'https://www.heise.de/thema/Wirtschaft', '@type': 'Thing', 'name': 'Wirtschaft'}]","Kurz informiert: KI-Campus, Trickbot, Fortnite, The Witcher",Journal,"[{'@id': '3099102', '@type': 'Person', 'name': 'Isabel Grünewald', 'url': '/autor/Isabel-Gruenewald-3714259'}]",0.0,"{'@id': 'https://www.heise.de', '@type': 'Organization', 'name': 'Heise Medien'}",2020,2020-08-27T17:00:00+02:00,2020-08-27T17:00:00+02:00,/forum/heise-online/Kommentare/Kurz-informiert-KI-Campus-Trickbot-Fortnite-The-Witcher/forum-456583/comment/,"[{'@context': 'http://schema.org', '@type': 'VideoObject', 'contentUrl': 'https://cfvod.kaltura.com/pd/p/2238431/sp/223843100/serveFlavor/entryId/1_9xl62blu/ev/7/flavorId/1_8l2hdxem/name/topnews_27_8_20_video.mp4', 'description': 'Video auf heise online im Artikel ""Kurz informiert: KI-Campus, Trickbot, Fortnite, The Witcher""', 'identifier': '2957918_video_mvp_typ:1:0', 'name': 'topnews 27 8 20 video', 'thumbnailUrl': 'https://www.heise.de/imgs/18/2/9/5/7/9/9/2/Einzelbild-45a089944056177a.jpg', 'uploadDate': '2020-08-27T17:00:00+02:00'}]","Kurz informiert: KI-Campus, Trickbot, Fortnite, The Witcher",2957918.0,"{'@type': 'ImageObject', 'height': 1079, 'url': 'https://www.heise.de/imgs/18/2/9/5/7/9/1/8/Einzelbild-e6f9ff38e9b494d0.jpeg', 'width': 1920}",de,True,True,"{'@type': ['Product'], 'name': 'heise online', 'productID': 'heise.de:basic'}","{'@id': 'https://www.heise.de/news/Kurz-informiert-KI-Campus-Trickbot-Fortnite-The-Witcher-4880526.html', '@type': 'WebPage', 'breadcrumb': {'@context': 'http://schema.org', '@type': 'BreadcrumbList', 'itemListElement': [{'@type': 'ListItem', 'item': {'@id': 'https://www.heise.de/', '@type': 'WebPage', 'name': 'heise online'}, 'position': 1}, {'@type': 'ListItem', 'item': {'@id': 'https://www.heise.de/newsticker/journal/', '@type': 'WebPage', 'name': 'Journal'}, 'position': 2}, {'@type': 'ListItem', 'item': {'@id': 'https://www.heise.de/news/Kurz-informiert-KI-Campus-Trickbot-Fortnite-The-Witcher-4880526.html', '@type': 'WebPage', 'name': 'Kurz informiert: KI-Campus, Trickbot, Fortnite, The Witcher'}, 'position': 3}]}}",,"{'@type': 'Organization', 'logo': {'@type': 'ImageObject', 'url': 'https://www.heise.de/icons/ho/opengraph/opengraph.png'}, 'name': 'heise online', 'url': 'https://www.heise.de'}","{'@id': 'https://www.heise.de/', '@type': 'Organization', 'identifier': 'ho', 'name': 'heise online'}",https://www.heise.de/imgs/18/2/9/5/7/9/1/8/Einzelbild-e6f9ff38e9b494d0.jpeg,PT3M,https://www.heise.de/news/Kurz-informiert-KI-Campus-Trickbot-Fortnite-The-Witcher-4880526.html,,389.0,3632786,AdModule,"[{'@type': 'ListItem', 'position': 0, 'item': {'@type': 'WPAdBlock', '@id': '3631856', 'additionalType': 'StickyFooterAd'}}]"
https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3LmRldXRzY2hsYW5kZnVua2t1bHR1ci5kZS9oZWdlbC11bmQta3VlbnN0bGljaGUtaW50ZWxsaWdlbnotZGVyLW1lbnNjaC1lcnNjaGFmZnQtMTAwLmh0bWzSAQA?oc=5,Hegel und künstliche Intelligenz - Der Mensch erschafft einen neuen Gott - Deutschlandfunk Kultur,2020-08-27,Deutschlandfunk Kultur,https://www.deutschlandfunkkultur.de,"Hegel war der Denker des dialektischen Fortschritts und mit seinen Überlegungen könne man auch die Zukunft erklären, meint der Medienwissenschaftler Roberto Simanowski. So sei der Mensch nur ein Zwischenwirt zum nächsten Gott – der künstlichen Intelligenz.",N/A,"Hegel war der Denker des dialektischen Fortschritts und mit seinen Überlegungen könne man auch die Zukunft erklären, meint der Medienwissenschaftler Roberto Simanowski. So sei der Mensch nur ein Zwischenwirt zum nächsten Gott – der künstlichen Intelligenz.","Hegel war der Denker des dialektischen Fortschritts und mit seinen Überlegungen könne man auch die Zukunft erklären, meint der Medienwissenschaftler Roberto Simanowski. So sei der Mensch nur ein Zwischenwirt zum nächsten Gott – der künstlichen Intelligenz.",,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3LmhvY2hwYXJ0ZXJyZS5jaC9uYWNocmljaHRlbi9hcmNoaXRla3R1ci9rdWVuc3RsaWNoZS1pbnRlbGxpZ2Vuei1pc3QtZWluLWJsaW5kZXMtd2Vya3pldWfSAQA?oc=5,"«Künstliche Intelligenz ist ein blindes Werkzeug» - Hochparterre.ch – News in Architektur, Planung und Design",2020-08-31,"Hochparterre.ch – News in Architektur, Planung und Design",https://www.hochparterre.ch,"Architekten sollten auf künstliche Intelligenz (KI) setzen, ist der Datenforscher Stanislas Chaillou überzeugt. Der Entwurf werde damit vielfältiger und schneller.",N/A,"Architekten sollten auf künstliche Intelligenz (KI) setzen, ist der Datenforscher Stanislas Chaillou überzeugt. Der Entwurf werde damit vielfältiger und schneller.","Architekten sollten auf künstliche Intelligenz (KI) setzen, ist der Datenforscher Stanislas Chaillou überzeugt. Der Entwurf werde damit vielfältiger und schneller.",https://schema.org,,N/A,N/A,N/A,Article,,,,"{'@type': 'Person', 'name': 'Andres Herzog'}",,,,,2020-08-31T16:53:00+0200,,"{'@type': 'WebPageElement', 'isAccessibleForFree': 'False', 'cssSelector': '.article__text'}",«Künstliche Intelligenz ist ein blindes Werkzeug»,,https://ik.imagekit.io/6o9aygpqfwy0o/hp/uploads/tx_hochparterre/Chaillou_Portraet.jpg?tr=w-1200,,False,,,,,,,,,,,,,,
