URL link,Title,Date,Source,Source Link,description,keywords,og:description,twitter:description,@context,@graph,article:section,article:summary,article text,@type,itemListElement,name,url,countryOfOrigin,inLanguage,isAccessibleForFree,isFamilyFriendly,publisher,mainEntityOfPage,headline,articleBody,wordCount,datePublished,dateModified,author,articleSection,image,alternateName,sameAs,address,logo,reviewBody,reviewRating,itemReviewed,positiveNotes,negativeNotes,@id,foundingDate
https://news.google.com/rss/articles/CBMifmh0dHBzOi8vd3d3Lmx5b24tZW50cmVwcmlzZXMuY29tL2FjdHVhbGl0ZXMvZWRpdG8vbm9uLWxlcy1hbGdvcml0aG1lcy1ldC1sLWludGVsbGlnZW5jZS1hcnRpZmljaWVsbGUtbmUtdm9udC1wYXMtdHVlci1sLWVtcGxvadIBAA?oc=5,"Non, les algorithmes et l'Intelligence Artificielle ne vont pas tuer l'emploi... - Lyon-Entreprises.com",2018-01-14,Lyon-Entreprises.com,https://www.lyon-entreprises.com,"L'édito hebdomadaire LE [ Lyon-Entreprises ], le portail d'information sur les entreprises pour les décideurs de Lyon et Rhône-Alpes",N/A,"L'édito hebdomadaire LE [ Lyon-Entreprises ], le portail d'information sur les entreprises pour les décideurs de Lyon et Rhône-Alpes",N/A,https://schema.org,"[{'@type': 'WebPage', '@id': 'https://www.lyon-entreprises.com/actualites/edito/non-les-algorithmes-et-l-intelligence-artificielle-ne-vont-pas-tuer-l-emploi', 'url': 'https://www.lyon-entreprises.com/actualites/edito/non-les-algorithmes-et-l-intelligence-artificielle-ne-vont-pas-tuer-l-emploi', 'name': ""Non, les algorithmes et l'Intelligence Artificielle ne vont pas tuer l'emploi... - LE [Lyon-Entreprises]"", 'isPartOf': {'@id': 'https://www.lyon-entreprises.com/#website'}, 'primaryImageOfPage': {'@id': 'https://www.lyon-entreprises.com/actualites/edito/non-les-algorithmes-et-l-intelligence-artificielle-ne-vont-pas-tuer-l-emploi#primaryimage'}, 'image': {'@id': 'https://www.lyon-entreprises.com/actualites/edito/non-les-algorithmes-et-l-intelligence-artificielle-ne-vont-pas-tuer-l-emploi#primaryimage'}, 'thumbnailUrl': 'https://www.lyon-entreprises.com/wp-content/uploads/non-les-algorithmes-et-lintelligence-artificielle-ne-vont-pas-tuer-lemploi.jpg', 'datePublished': '2018-01-14T22:00:00+00:00', 'dateModified': '2019-06-18T09:25:07+00:00', 'description': ""L'édito hebdomadaire LE [ Lyon-Entreprises ], le portail d'information sur les entreprises pour les décideurs de Lyon et Rhône-Alpes"", 'breadcrumb': {'@id': 'https://www.lyon-entreprises.com/actualites/edito/non-les-algorithmes-et-l-intelligence-artificielle-ne-vont-pas-tuer-l-emploi#breadcrumb'}, 'inLanguage': 'fr-FR', 'potentialAction': [{'@type': 'ReadAction', 'target': ['https://www.lyon-entreprises.com/actualites/edito/non-les-algorithmes-et-l-intelligence-artificielle-ne-vont-pas-tuer-l-emploi']}]}, {'@type': 'ImageObject', 'inLanguage': 'fr-FR', '@id': 'https://www.lyon-entreprises.com/actualites/edito/non-les-algorithmes-et-l-intelligence-artificielle-ne-vont-pas-tuer-l-emploi#primaryimage', 'url': 'https://www.lyon-entreprises.com/wp-content/uploads/non-les-algorithmes-et-lintelligence-artificielle-ne-vont-pas-tuer-lemploi.jpg', 'contentUrl': 'https://www.lyon-entreprises.com/wp-content/uploads/non-les-algorithmes-et-lintelligence-artificielle-ne-vont-pas-tuer-lemploi.jpg', 'width': 1928, 'height': 2416}, {'@type': 'BreadcrumbList', '@id': 'https://www.lyon-entreprises.com/actualites/edito/non-les-algorithmes-et-l-intelligence-artificielle-ne-vont-pas-tuer-l-emploi#breadcrumb', 'itemListElement': [{'@type': 'ListItem', 'position': 1, 'name': 'Accueil', 'item': 'https://www.lyon-entreprises.com/'}, {'@type': 'ListItem', 'position': 2, 'name': 'Actualité: Edito', 'item': 'https://www.lyon-entreprises.com/editos'}, {'@type': 'ListItem', 'position': 3, 'name': 'Non, les algorithmes et l&rsquo;Intelligence Artificielle ne vont pas tuer l&#8217;emploi&#8230;'}]}, {'@type': 'WebSite', '@id': 'https://www.lyon-entreprises.com/#website', 'url': 'https://www.lyon-entreprises.com/', 'name': 'LE [Lyon-Entreprises]', 'description': 'Actualité, Entreprises, Dirigeants de Rhône Alpes', 'publisher': {'@id': 'https://www.lyon-entreprises.com/#organization'}, 'potentialAction': [{'@type': 'SearchAction', 'target': {'@type': 'EntryPoint', 'urlTemplate': 'https://www.lyon-entreprises.com/?s={search_term_string}'}, 'query-input': 'required name=search_term_string'}], 'inLanguage': 'fr-FR'}, {'@type': 'Organization', '@id': 'https://www.lyon-entreprises.com/#organization', 'name': 'LE [Lyon-Entreprises]', 'url': 'https://www.lyon-entreprises.com/', 'logo': {'@type': 'ImageObject', 'inLanguage': 'fr-FR', '@id': 'https://www.lyon-entreprises.com/#/schema/logo/image/', 'url': 'https://www.lyon-entreprises.com/wp-content/uploads/lyon-entreprises.png', 'contentUrl': 'https://www.lyon-entreprises.com/wp-content/uploads/lyon-entreprises.png', 'width': 357, 'height': 100, 'caption': 'LE [Lyon-Entreprises]'}, 'image': {'@id': 'https://www.lyon-entreprises.com/#/schema/logo/image/'}, 'sameAs': ['https://www.facebook.com/LyonEntreprises', 'https://twitter.com/LyonEntreprises', 'https://www.linkedin.com/company/9376494/', 'https://www.youtube.com/c/LyonEntreprisesWebTV']}]",N/A,N/A,"



                                                Publié le  14 janvier 2018 à 23 h 00 min
                                                                                                     - Mis à jour le
                                                    18 juin 2019


Non, les algorithmes et l’Intelligence Artificielle ne vont pas tuer l’emploi…



                                                Par Lyon Entreprises
                                                
                                            


























Nietzsche assurait que le pessimisme était affaire d’humeur et l’optimisme affaire de volonté. Et s’il en était de même en matière d’emploi ? A l’heure où rarement en ce début d’année notre pays n’a jamais été aussi positif en ce qui concerne la situation économique, sur le court et moyen terme, projetons-nous sur le long terme, en regardant l’avenir avec des lunettes un peu plus roses que certains.
En tout cas plus roses que ces prophètes de malheur qui ne cessent de nous seriner que, avec l’Intelligence artificielle et la numérisation croissante de notre économie, le chômage ne cessera d’empirer dans le futur.
Remarquons d’abord que ce n’est pas le cas aujourd’hui, puisque autant en France qu’en Europe, le chômage ne cesse de refluer.
Les prophètes qui nous annoncent que les algorithmes et l’intelligence artificielle vont détruire des emplois, oublient de prendre en compte qu’ils vont également en créer. En quantité, même.
Le futur ne sera pas obligatoirement un cimetière d’emplois. Au contraire: un rapport de Dell et de «l’Institut pour le Futur», think tank californien, estime que 85 % des emplois créés en 2030 n’existent même pas encore aujourd’hui.
L’IA devrait créer 21 millions d’emplois
Mieux encore, une autre étude reprise il y a quelques semaines dans Le Figaro prévoit que l’Intelligence Artificielle va créer… 21 millions d’emplois.
Peu à peu, plusieurs nouveaux emplois commencent effectivement à se dessiner sous l’impulsion des nouvelles technologies.
Cité par le même Figaro, le MIT a d’ores et déjà isolé cinq métiers émergents qui vont être de plus en plus représentés en 2018 et au cours des années à venir :
• Coach de robots. C’est inévitable et au risque d’en faire même hurler certains, c’est indispensable, : les robots occuperont une grande partie des emplois dans les années à venir. Mais paradoxalement, la robotisation n’est pas antinomique avec l’emploi. Elle pourrait même accompagner par ses gains de productivité la relocalisation d’industries dans l’Hexagone.
Il va donc falloir collaborer avec les robots et les manager, d’où cette nouvelle profession de coach de robots.
Les entreprises vont embaucher des ingénieurs spécialisés dont l’activité sera de créer et de manager des intelligences artificielles. Ces dernières sont effectivement capables de résoudre des problèmes très complexes en un temps record, mais elles ne sont pas autonomes.
Pour preuve, Google a embauché 10 000 personnes il y a quelques semaines afin de faire un grand ménage de données sur Youtube. Un algorithme a pu retirer 98 % des vidéos signalées – soit le travail de 180 000 personnes pendant 40 semaines – mais pour les 2 % restants, Google a dû faire appel à des humains.
• Ingénieur en Intelligence Artificielle. Ce profil est le développeur de demain en termes de demande et de rareté.
Les ingénieurs spécialistes des intelligences artificielles sont très recherchés sur le marché du travail et les entreprises se les arrachent déjà.
Naturellement, les salaires sont au niveau : ils oscillent en moyenne autour de 300 000 dollars annuels aux États-Unis – soit environ 250 000 euros – et les mieux payés peuvent atteindre une rémunération à sept chiffres…
• Vidéaste jeux vidéos. C’est un marché émergent du streaming lié aux jeux vidéos en ligne : les joueurs veulent regarder des joueurs plus expérimentés qu’eux jouer en direct.
Sur le site spécialisé Twitch par exemple, plus de 15 millions d’internautes regardent jouer d’autres joueurs ! Près de 25 000 joueurs ont même fait de leur passion, leur métier.
• Technicien en énergie renouvelable. La transition énergétique est l’un des enjeux de demain. Pour développer et faire monter en puissance les énergies renouvelables qui devront également être intelligentes, de nouveaux techniciens spécialisés devraient faire massivement leur apparition sur le marché du travail : spécialistes des panneaux solaires photovoltaïques ou des éoliennes, le MIT estime que ces emplois vont connaître un fort développement au cours de la décennie à venir.
Nous n’en sommes qu’aux prémices, d’autant que Nicolas Hulot est en train de concocter un plan visant à accélérer la présence de la France dans les énergies renouvelables. Il le faut car nous avons pris beaucoup de retard.
Un booster qui devrait se révéler aussi un bon choix économique : «  Toutes les technologies renouvelables seront compétitives par rapport aux énergies fossiles en 2020 », annonce ainsi l’Agence internationale des énergies renouvelables (Irena) dans sa dernière étude. 2020, c’est demain…
• Soignant. Des robots mènent déjà un nombre grandissant d’opérations chirurgicales. Mais si la chirurgie et d’autres activités du secteur de la médecine sont en train d’être touchés par l’intelligence artificielle, les soins médicaux nécessitent une proximité, une expertise que seuls les humains peuvent avoir.
Selon le bureau des statistiques du travail américain, le vieillissement de la population va engendrer la création de centaines de milliers d’emplois: entre 426 000 et 754 000 au cours des dix prochaines années.
Si vous cherchez actuellement un job, vous auriez intérêt à regarder du côté de ces nouveaux métiers…






",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vZnIuc3RhdGlzdGEuY29tL2luZm9ncmFwaGllLzEyNTA2L2xpbnRlbGxpZ2VuY2UtYXJ0aWZpY2llbGxlLWRhbnMtbm9zLXNtYXJ0cGhvbmVzL9IBXmh0dHBzOi8vZnIuc3RhdGlzdGEuY29tL2luZm9ncmFwaGllL2FtcC8xMjUwNi9saW50ZWxsaWdlbmNlLWFydGlmaWNpZWxsZS1kYW5zLW5vcy1zbWFydHBob25lcy8?oc=5,L'intelligence artificielle dans nos smartphones - Statista,2018-01-12,Statista,https://fr.statista.com,Ce graphique indique la part de répondants ayant connaissance et utilisation des applications mobiles faisant appel au machine learning. ,N/A,Ce graphique indique la part de répondants ayant connaissance et utilisation des applications mobiles faisant appel au machine learning. ,Ce graphique indique la part de répondants ayant connaissance et utilisation des applications mobiles faisant appel au machine learning. ,,,N/A,N/A,"
                        L'intelligence artificielle dans nos smartphones
                    
                            Consumer Electronics Show 2018
                        de Pascaline Boittiaux,
    
             
                        
                            12 janv. 2018
                        
                                L’intelligence artificielle a été à l’honneur de l’édition 2018 du Consumer Electronics Show dont les portes se fermeront aujourd’hui. Les smart homes, smart cities ou tout simplement nos smartphones sont autant de domaines qui ont beaucoup à tirer de l’IA et du machine learning. 
D’ailleurs, nombreuses sont les fonctionnalités des smartphones qui font appel à l’intelligence artificielle – mais toutes ne rencontrent pas le même succès auprès des utilisateurs au regard de l’enquête Deloitte « Global Mobile Consumer Survey ». La saisie intuitive, connue par la moitié des détenteurs de smartphones, est utilisée par 35 % d’entre eux. La suggestion d’itinéraires se révèle également populaire.  
Mais d’autres applications utilisant le machine learning restent beaucoup plus confidentielles. C’est par exemple le cas de la transcription oral-écrit, utilisée par seulement 7 % des personnes détenant un smartphone. 

                            
                                            Pascaline Boittiaux
                                    
                            Data Journalist
                        
                                        Description
                                    
                                        Ce graphique indique la part de répondants ayant connaissance et utilisation des applications mobiles faisant appel au machine learning. 
                                    
                                            Signaler
                                        
                                        Téléchargement de graphiques
                                    
    URL à utiliser comme lien de référence:
https://fr.statista.com/infographie/12506/lintelligence-artificielle-dans-nos-smartphones/
            Code HTML pour intégrer un graphique
             
                
                    Puis-je intégrer infographies sur mon blog ou site web?
                
            
                
                    Tout à fait. Statista permet une intégration facile de nombreuses infographies gratuites sur d'autres sites internet. Il vous suffit de copier le code HTML qui s'affiche pour la statistique pour pouvoir ensuite l'intégrer. Notre standard est 660 pixels, mais vous pouvez modifier la largeur et la taille de la statistique afin de l'adapter à votre site. Le code doit être intégré dans le code HTML ( pas seulement le texte ) pour les pages WordPress et autres systèmes de gestion de contenu (CMS).
                    
            
                
                    Puis-je intégrer infographies sur mon blog ou site web?
                
            
                
                    Tout à fait. Statista permet une intégration facile de nombreuses infographies gratuites sur d'autres sites internet. Il vous suffit de copier le code HTML qui s'affiche pour la statistique pour pouvoir ensuite l'intégrer. Notre standard est 660 pixels, mais vous pouvez modifier la largeur et la taille de la statistique afin de l'adapter à votre site. Le code doit être intégré dans le code HTML ( pas seulement le texte ) pour les pages WordPress et autres systèmes de gestion de contenu (CMS).
                    
            <a href=""https://fr.statista.com/infographie/12506/lintelligence-artificielle-dans-nos-smartphones/"" title=""Infographie: L'intelligence artificielle dans nos smartphones | Statista""><img src=""https://cdn.statcdn.com/Infographic/images/normal/12506.jpeg"" alt=""Infographie: L'intelligence artificielle dans nos smartphones | Statista"" width=""100%"" height=""auto"" style=""width: 100%; height: auto !important; max-width:960px;-ms-interpolation-mode: bicubic;""/></a> Vous trouverez plus d'infographie sur <a href=""https://fr.statista.com/graphique-du-jour/"">Statista</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vd3d3LnN0cmF0ZWdpZS5nb3V2LmZyL2RlYmF0cy9sYXBwcm9wcmlhdGlvbi1kZS1saW50ZWxsaWdlbmNlLWFydGlmaWNpZWxsZS1nZW5kYXJtZXJpZS1uYXRpb25hbGXSAQA?oc=5,L'appropriation de l'intelligence artificielle par la Gendarmerie nationale - France Stratégie,2018-01-12,France Stratégie,https://www.strategie.gouv.fr,"France Stratégie, le Commissariat général à la stratégie et à la prospective, est un organisme de réflexion, d’expertise et de concertation placé auprès du Premier ministre. 4 missions orchestrent son action : Évaluer, Anticiper, Débattre, Proposer",intelligence artificielle; numérique,"France Stratégie, le Commissariat général à la stratégie et à la prospective, est un organisme de réflexion, d’expertise et de concertation placé auprès du Premier ministre. 4 missions orchestrent son action : Évaluer, Anticiper, Débattre, Proposer","France Stratégie, le Commissariat général à la stratégie et à la prospective, est un organisme de réflexion, d’expertise et de concertation placé auprès du Premier ministre. 4 missions orchestrent son action : Évaluer, Anticiper, Débattre, Proposer",http://schema.org,,N/A,N/A,"




Événements 
Publié le

Vendredi 12 janvier 2018

 

Vendredi 12 janvier 2018
15h00 à 17h00

France Stratégie 
La problématique posée par l’émergence de l’IA a fait principalement l’objet d’approches techniques (informatique, mécatronique, mathématique), juridiques (responsabilité, assurance, éthique…) ou psychologiques (notamment liées à l’usage de l’IA en robotique).  Ces dernières ne rendent cependant qu’imparfaitement compte de la capacité potentielle très élevée de transformation de l’intelligence artificielle, tant sur le plan sociétal que sur le plan organisationnel.
La recherche engagée dans le cadre de l’Executive Doctorate in Public Affairs de l’université Paris-Dauphine a choisi de privilégier ce volet organisationnel en mettant en œuvre une approche sociologique, centrée sur l’analyse des usages de l’intelligence artificielle et/ou la manière dont sont perçus et appréhendés les usages anticipés.
Dotée d’une culture spécifique forte, structurée selon une logique hiérarchisée, la Gendarmerie nationale constitue un terrain d’observation et d’analyse d’autant plus singulier. Il est possible d’en tirer de riches enseignements pour ce qui concerne l’appropriation de l’intelligence artificielle et la place de l’humain dans les dispositifs mis en œuvre.
Gioia Venturini, directrice de la Coopération internationale et des Relations institutionnelles (R&I et Innovation) au sein du groupe Safran présentera les premiers résultats de ses travaux, issus d’un Executive Doctorate.
Ces éléments seront discutés par Lionel Janin, adjoint à la directrice du département Développement durable et Numérique de France Stratégie, avant un échange avec tous les participants.
En partenariat avec :


Sur le même sujetL’intelligence artificielle : mythes et réalitésIntelligence artificielle : une nouvelle mission confiée à France StratégieAnticiper les impacts économiques et sociaux de l'intelligence artificielleStratégie nationale en intelligence artificielle - Ateliers thématiquesWebconférence - L'intelligence artificielle : menace ou opportunité ?
Tous nos travaux sur  : 

Numérique




",BreadcrumbList,"[{'@type': 'ListItem', 'position': 1, 'item': {'name': 'Thematique', '@id': 'https://www.strategie.gouv.fr/taxonomy/term'}}, {'@type': 'ListItem', 'position': 2, 'item': {'name': 'Débats', '@id': 'https://www.strategie.gouv.fr/debats'}}]",,,,,,,,,,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMiowFodHRwczovL3d3dy50ZjFpbmZvLmZyL2hpZ2gtdGVjaC92aWRlby1oZWxsby13b3JsZC1xdWFuZC11bmUtaW50ZWxsaWdlbmNlLWFydGlmaWNpZWxsZS1jb21wb3NlLXVuLWFsYnVtLWF2ZWMtZGVzLWh1bWFpbnMtc3Ryb21hZS1mbG93LW1hY2hpbmVzLXNwb3RpZnktMjA3NTgwMS5odG1s0gGnAWh0dHBzOi8vd3d3LnRmMWluZm8uZnIvYW1wL2hpZ2gtdGVjaC92aWRlby1oZWxsby13b3JsZC1xdWFuZC11bmUtaW50ZWxsaWdlbmNlLWFydGlmaWNpZWxsZS1jb21wb3NlLXVuLWFsYnVtLWF2ZWMtZGVzLWh1bWFpbnMtc3Ryb21hZS1mbG93LW1hY2hpbmVzLXNwb3RpZnktMjA3NTgwMS5odG1s?oc=5,"""Hello World"" : quand une intelligence artificielle compose un album avec des humains - TF1 INFO",2018-01-12,TF1 INFO,https://www.tf1info.fr,"FUTUR - Depuis ce vendredi matin, ""Hello World"" est disponible en écoute sur Spotify. Cet album a été composé sous la houlette de Flow Machines, une intelligence artificielle développée par un chercheur français. Un projet à la fois musical et scientifique auquel a notamment participé l'artiste Stromae. - ""Hello World"" : quand une intelligence artificielle compose un album avec des humains (Nouvelles technologies) - TF1 INFO","High-tech,Innovations technologiques,Jusqu'où ira l'intelligence artificielle ?,Miss France,Nouvelles technologies,actualité Nouvelles technologies, actualités, info, actu","FUTUR - Depuis ce vendredi matin, ""Hello World"" est disponible en écoute sur Spotify. Cet album a été composé sous la houlette de Flow Machines, une intelligence artificielle développée par un chercheur français. Un projet à la fois musical et scientifique auquel a notamment participé l'artiste Stromae. - ""Hello World"" : quand une intelligence artificielle compose un album avec des humains (Nouvelles technologies) - TF1 INFO","FUTUR - Depuis ce vendredi matin, ""Hello World"" est disponible en écoute sur Spotify. Cet album a été composé sous la houlette de Flow Machines, une intelligence artificielle développée par un chercheur français. Un projet à la fois musical et scientifique auquel a notamment participé l'artiste Stromae. - ""Hello World"" : quand une intelligence artificielle compose un album avec des humains (Nouvelles technologies) - TF1 INFO",https://schema.org,,Nouvelles technologies,N/A,"FUTUR - Depuis ce vendredi matin, ""Hello World"" est disponible en écoute sur Spotify. Cet album a été composé sous la houlette de Flow Machines, une intelligence artificielle développée par un chercheur français. Un projet à la fois musical et scientifique auquel a notamment participé l'artiste Stromae.Suivez la couverture complèteJusqu'où ira l'intelligence artificielle ?Bienvenue dans le futur. Un album de musique composé par plusieurs artistes, dont Stromae, avec l'aide de technologies d'intelligence artificielle (IA) est depuis ce vendredi 12 janvier disponible en écoute sur Spotify. Une première mondiale, selon la plateforme suédoise de streaming musical. Cet album, appelé Hello World et produit par le label indépendant Flow Records, est l'aboutissement d'un projet de recherche scientifique baptisé ""Flow Machines"", initié par François Pachet, ancien directeur du Computer science laboratory (CSL) de Sony à Paris, qui a rejoint Spotify l'an dernier. L'opus comporte 15 titres aux styles variés : pop, électro, jazz, etc. L'intelligence artificielle a permis aux artistes de générer des mélodies, des harmonies, des voix, à partir de morceaux ou d'extraits musicaux qu'ils soumettaient à des logiciels. Ils pouvaient ensuite utiliser les éléments obtenus, les modifier ou les abandonner au gré de leur processus créatif. ""Il ne s'agissait pas du tout de cantonner les artistes dans un rôle de spectateur"", mais ""de voir comment on peut faire des outils qui les aident, en les poussant à faire des choses nouvelles et différentes"", explique François Pachet. Pour cet album, Benoit Carré alias Skygge, membre de l'équipe et ancien du groupe Lilicub, a choisi les artistes et a également collaboré à plusieurs des titres.GRATUITETéléchargez l'application gratuite TF1 INFODu local à l'international, toutes les actualités des rédactions TF1 & LCI dans votre poche.Je télécharge l'applicationAprès la révolution du synthétiseur dans les 80's, l'IA François Pachet a lancé Flow Machines au sein du CSL et de l'Université Pierre et Marie Curie, à Paris, en visant au départ à ""développer des technologies d'intelligence pour comprendre la notion de style dans des oeuvres"". Puis son équipe de Flow Machines a voulu mettre ces technologies entre les mains d'artistes professionnels. Pour lui, ""de la même manière que le synthétiseur a révolutionné la musique dans les années 80"", l'utilisation de l'intelligence artificielle ""est la prochaine étape dans l'évolution des outils d'aide à la création musicale, et va ""produire des environnements très nouveaux et stimulants"".Lire aussi999,99 points : une intelligence artificielle bat le record à Ms Pac-Man !Lire aussiL’intelligence artificielle de Google a composé sa première chanson… et c’est vraiment mauvais !Comment fonctionne la technologie Flow Machines ?Nous ne pouvons pas afficher cette vidéo. YouTube conditionne l’affichage des vidéos au dépôt de traceurs liés à la publicité personnalisée.  Pour afficher cette vidéo, vous pouvez cliquer sur « j'accepte » et accepter les traceurs tiers Google liés à la publicité en ligne.  Sans une telle acceptation, vous ne pourrez pas voir cette vidéo.  Pour plus d’information, visitez la politique de confidentialité de YouTube, visitez la politique « cookies » Youtube.J’ACCEPTEJE REFUSELes ingénieurs qui ont travaillé sur ce projet ont intégré dans la base de données des partitions de jazz, de pop et de musique brésilienne – 13.000 au total – ainsi que l’intégralité des partitions écrites par le Brésilien Almir Chediak. Pourquoi se cantonner à la pop, au jazz et à la musique brésilienne ? Le catalogue a d’abord été choisi pour son caractère ""fermé"" : le style des compositeurs morts, comme Miles Davis par exemple, est plus facile à modéliser. Et ces genres musicaux s’attachent à la mélodie ou l’harmonie. ""Dans la musique lounge, le hard-rock ou le rap, la notion de partition est beaucoup moins importante parce qu’il n’y a pas d’harmonie, ou très peu"", explique François Pachet. Sans jugement de valeur, insiste-t-il.Nous ne pouvons pas afficher cette vidéo. YouTube conditionne l’affichage des vidéos au dépôt de traceurs liés à la publicité personnalisée.  Pour afficher cette vidéo, vous pouvez cliquer sur « j'accepte » et accepter les traceurs tiers Google liés à la publicité en ligne.  Sans une telle acceptation, vous ne pourrez pas voir cette vidéo.  Pour plus d’information, visitez la politique de confidentialité de YouTube, visitez la politique « cookies » Youtube.J’ACCEPTEJE REFUSEL'intelligence artificielle se lance alors dans un travail de représentation statistique. ""Au départ, on donne un style, c’est-à-dire un ensemble de morceaux qu’on a sélectionnés nous-mêmes. La machine va les analyser et essayer de voir ce qui est récurrent. Après telle note et tel accord, il y a plutôt telle note et tel accord avec telle probabilité. C’est fait de manière intelligente et ça construit un objet statistique à partir duquel on va pouvoir générer d’autres morceaux qui auront les propriétés statistiques observées dans le corpus.""Nous ne pouvons pas afficher cette vidéo. YouTube conditionne l’affichage des vidéos au dépôt de traceurs liés à la publicité personnalisée.  Pour afficher cette vidéo, vous pouvez cliquer sur « j'accepte » et accepter les traceurs tiers Google liés à la publicité en ligne.  Sans une telle acceptation, vous ne pourrez pas voir cette vidéo.  Pour plus d’information, visitez la politique de confidentialité de YouTube, visitez la politique « cookies » Youtube.J’ACCEPTEJE REFUSEL'album Hello World est en écoute gratuite dans son intégralité sur la plateforme de streaming Spotify et en cas de succès, peut-être sous forme de vinyle, espère François Pachet.Matthieu DELACHARLERY",BreadcrumbList,"[{'@type': 'ListItem', 'name': 'Accueil', 'position': 1, 'item': 'https://www.tf1info.fr'}, {'@type': 'ListItem', 'name': 'Nouvelles technologies', 'position': 2, 'item': 'https://www.tf1info.fr/high-tech/'}, {'@type': 'ListItem', 'name': '""Hello World"" : quand une intelligence artificielle compose un album avec des humains', 'position': 3}]",TF1 Info,https://www.tf1info.fr,"{'@type': 'Country', 'name': 'France'}",fr,True,True,"{'@type': 'NewsMediaOrganization', 'name': 'TF1 Info', 'alternateName': 'Télévision Française 1 Info', 'parentOrganization': {'@type': 'Organization', 'name': 'Groupe TF1', 'foundingDate': '1987-04-16', 'url': 'https://groupe-tf1.fr/', 'sameAs': ['https://fr.wikipedia.org/wiki/Groupe_TF1', 'https://www.linkedin.com/company/groupetf1', 'https://twitter.com/GroupeTF1', 'https://www.wikidata.org/wiki/Q2412906']}, 'url': 'https://www.tf1info.fr', 'foundingDate': '2022-01-24', 'logo': {'@type': 'ImageObject', 'url': 'https://www.tf1info.fr/images/tf1info-logo-line.png', 'encodingFormat': 'image/png', 'width': '861', 'height': '150'}, 'address': {'@type': 'PostalAddress', 'addressCountry': 'France', 'addressLocality': 'Boulogne-Billancourt', 'postalCode': '92100', 'streetAddress': '1 Quai du Point du Jour'}, 'sameAs': ['https://www.facebook.com/TF1Info/', 'https://twitter.com/TFIINFO', 'https://news.google.com/publications/CAAqBwgKMNDhsQEw-fUJ', 'https://www.wikidata.org/wiki/Q111191650', 'https://www.youtube.com/channel/UCsrPUA0ZSDCNZC6wyRlR7ZA', 'https://www.tiktok.com/@tf1info', 'https://www.instagram.com/tf1info/', 'https://fr.wikipedia.org/wiki/TF1_INFO'], 'masthead': 'https://www.tf1info.fr/tf1-info/redaction/', 'actionableFeedbackPolicy': 'https://www.tf1info.fr/la-mediatrice-vous-repond/', 'correctionsPolicy': 'https://www.tf1info.fr/tf1-info/charte-editoriale/', 'publishingPrinciples': 'https://www.tf1info.fr/tf1-info/charte-editoriale/', 'ethicsPolicy': 'https://www.tf1info.fr/tf1-info/charte-editoriale/', 'verificationFactCheckingPolicy': 'https://www.tf1info.fr/tf1-info/les-verificateurs-fact-checking/', 'potentialAction': {'@type': 'SearchAction', 'target': 'https://www.tf1info.fr/recherche/?query={query}', 'query-input': {'@type': 'PropertyValueSpecification', 'valueRequired': True, 'valueName': 'query'}}}",,,,,,,,,,,,,,,,,,,,
