URL link,Title,Date,Source,Source Link,description,keywords,og:description,twitter:description,article:section,article:summary,article text,@context,@graph,@type,name,isPartOf,thumbnailUrl,uploadDate,contentUrl,embedUrl
https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vd3d3LmRldXRzY2hsYW5kZnVuay5kZS9rdWVuc3RsaWNoZS1pbnRlbGxpZ2Vuei1mdWVyLWRhcy1oYW5kd2Vyay1ibGVpYmVuLWVjaHRlLTEwMC5odG1s0gEA?oc=5,Künstliche Intelligenz - Für das Handwerk bleiben echte Menschen unentbehrlich - Deutschlandfunk,2021-06-14,Deutschlandfunk,https://www.deutschlandfunk.de,"Auch wenn KI unter Handwerkern noch nicht weit verbreitet ist, müssen sich Auszubildende und Berufsschulen auf die neuen Anforderungen einstellen. Und dennoch: Dass Maschinen und Algorithmen irgendwann echte Handwerker vollständig ersetzen könnten, ist zumindest momentan nur schwer vorstellbar. ",N/A,"Auch wenn KI unter Handwerkern noch nicht weit verbreitet ist, müssen sich Auszubildende und Berufsschulen auf die neuen Anforderungen einstellen. Und dennoch: Dass Maschinen und Algorithmen irgendwann echte Handwerker vollständig ersetzen könnten, ist zumindest momentan nur schwer vorstellbar. ","Auch wenn KI unter Handwerkern noch nicht weit verbreitet ist, müssen sich Auszubildende und Berufsschulen auf die neuen Anforderungen einstellen. Und dennoch: Dass Maschinen und Algorithmen irgendwann echte Handwerker vollständig ersetzen könnten, ist zumindest momentan nur schwer vorstellbar. ",N/A,N/A,"



Nahostkonflikt
Aktuelle Lage und Hintergründe
Der Überfall der palästinensischen Terrororganisation Hamas im Oktober 2023 auf Israel hat in der Region wieder die Gewalt entfacht. Israel möchte die Hamas zerstören. Diese wird wie die Hisbollah im Libanon vom Iran unterstützt.
",,,,,,,,,
https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vd3d3LmRldXRzY2hsYW5kZnVuay5kZS9rdWVuc3RsaWNoZS1pbnRlbGxpZ2Vuei1nb29nbGUtYmVzY2hsZXVuaWd0LWNvbXB1dGVyY2hpcC0xMDAuaHRtbNIBAA?oc=5,Künstliche Intelligenz - Google beschleunigt Computerchip-Design mit KI-Algorithmus - Deutschlandfunk,2021-06-11,Deutschlandfunk,https://www.deutschlandfunk.de,Bei der Entwicklung von Computerchips will Google künftig auf Künstliche Intelligenz setzen. Mit dem im Fachjournal Nature vorgestellten KI-Algorithmus ließe sich das Design der Chips deutlich beschleunigen – für Google-Dienste wie die Bildersuche und die Routenberechnung von Interesse. ,N/A,Bei der Entwicklung von Computerchips will Google künftig auf Künstliche Intelligenz setzen. Mit dem im Fachjournal Nature vorgestellten KI-Algorithmus ließe sich das Design der Chips deutlich beschleunigen – für Google-Dienste wie die Bildersuche und die Routenberechnung von Interesse. ,Bei der Entwicklung von Computerchips will Google künftig auf Künstliche Intelligenz setzen. Mit dem im Fachjournal Nature vorgestellten KI-Algorithmus ließe sich das Design der Chips deutlich beschleunigen – für Google-Dienste wie die Bildersuche und die Routenberechnung von Interesse. ,N/A,N/A,"



Nahostkonflikt
Aktuelle Lage und Hintergründe
Der Überfall der palästinensischen Terrororganisation Hamas im Oktober 2023 auf Israel hat in der Region wieder die Gewalt entfacht. Israel möchte die Hamas zerstören. Diese wird wie die Hisbollah im Libanon vom Iran unterstützt.
",,,,,,,,,
https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3LmZ1dHVyZXpvbmUuZGUvc2NpZW5jZS9hcnRpY2xlMjI4MDUwMTM3L3dhbm4tc3RlcmJlLWljaC1zby1nZW5hdS1rZW5uZW4tZm9yc2NoZXItZGVpbi10b2Rlc2RhdHVtLmh0bWzSAQA?oc=5,Wann sterbe ich? Wissenschaft könnte das Todesdatum voraussehen - futurezone.de,2021-06-12,futurezone.de,https://www.futurezone.de,"Mit einem Röntgenbild und einem Bluttest könnte das Todesdatum bestimmt werden. Forschende arbeiten nämlich daran, die Frage ""Wann sterbe ich"" beantworten zu können. Doch wie genau? Und welche ethischen Folgefragen ergeben sich dadurch?",N/A,"Mit einem Röntgenbild und einem Bluttest könnte das Todesdatum bestimmt werden. Forschende arbeiten nämlich daran, die Frage ""Wann sterbe ich"" beantworten zu können. Doch wie genau? Und welche ethischen Folgefragen ergeben sich dadurch?",N/A,Science,N/A,"










Wann sterbe ich? Möglicherweise hat sich schon jeder Mensch diese Frage einmal gestellt. Doch Hand aufs Herz: Würdest du wirklich wissen wollen, wann du stirbst? Soweit ist die Wissenschaft jedenfalls bereits beim möglichen Bestimmen des Todesdatums und diese ethischen Fragen ergeben sich daraus.






 






Wann sterbe ich? Wissenschaft könnte das Todesdatum voraussehen
Mit einem Röntgenbild und einem Bluttest könnte das Todesdatum bestimmt werden. Forschende arbeiten nämlich daran, die Frage ""Wann sterbe ich"" beantworten zu können. Doch wie genau? Und welche ethischen Folgefragen ergeben sich dadurch?

Weltweit häufigste Todesursache 2019

Ischämische HerzkrankheitSchlaganfallCOPD (dauerhaft atemwegsverengende Lungenerkrankung)
Quelle: WHO
Wann sterbe ich? Soweit ist die WissenschaftDie Frage treibt Menschen seit jeher um: Wann sterbe ich? Schon bald könntest du es wissen. Zumindest gibt es bereits Forschungen, die zum Ziel haben, diese Frage zu beantworten.Methode RöntgenbildForschende der Hochschule Stralsund und der Harvard University haben eigenen Angaben zufolge einen Weg gefunden, das Todesdatum eines Menschen vorherzusagen.Eine Künstliche Intelligenz (KI) und Röntgenbilder helfen ihnen dabei. Der speziell für dieses Szenario von ihnen entwickelte Algorithmus wertet zehntausende Röntgenaufnahmen aus und gleicht sie mit vorhandenen Sterbedaten ab. So wird das künstliche, neuronale Netzwerk darauf trainiert, die Wahrscheinlichkeit eines Todes zu kalkulieren.Über 55.000 Röntgenaufnahmen aus zwei großen klinischen Studien wurden in das System eingespeist, mit besonderem Fokus auf gesundheitsgefährdende Anomalien. So soll der Tod etwa durch Herzversagen, Lungenkrebs oder Lungenversagen einige Jahre im Voraus vorhergesagt werden können. Die Kosten seien außerdem minimal.Forscher schafften es eine KI zu kreieren, die mithilfe von Röntgenbilder die Lebenserwartung voraussagen kann.
Foto: imago images/imagebroker
Das heißt natürlich nicht, dass die Künstliche Intelligenz das Todesdatum auf den Tag genau berechnen kann. Aber wer weiß? Vielleicht ist es eines Tages möglich eine exakte Antwort auf die Frage zu nennen: Wann sterbe ich? Bis dahin bietet die Berechnung vor allem eines: Chancen, „informierte Entscheidungen über Präventionsmaßnahmen“ wie zum Beispiel Lungenkrebs-Screenings zu treffen. Das kann im Ernstfall Leben retten. Im Fachmagazin Jama Network veröffentlichten die Forschende ihre Arbeit im Jahr 2019.Methode BluttestDerweil arbeiten Forschende aus Deutschland zusammen mit internationalen Kolleg:innen an einer ganz anderen Methode, um vorherzusagen, wann Menschen sterben werden. Über ist die Medizinethik allerdings empört.Ausgehend von der Frage, warum manche Menschen 75 und andere 100 Jahre alt werden können, glauben die Wissenschaftler:innen die Antwort im menschlichen Blut gefunden zu haben. 14 sogenannte Biomarker haben sie identifiziert, mithilfe derer sich die Wahrscheinlichkeit berechnen lassen soll, dass jemand innerhalb von fünf oder zehn Jahren sterben wird.Biomarker können zum Beispiel Hinweise auf ernsthafte Krankheiten beinhalten. In der Studie bestimmen sie die prozentuale Wahrscheinlichkeit, ob ein Patient oder eine Patientin in einem bestimmten Zeitraum stirbt. 60 Prozent bedeutet, dass 60 Prozent der untersuchten Patient:innen mit denselben Werten innerhalb von fünf beziehungsweise zehn Jahren gestorben sind.Das, was Ethiker:innen kritisieren, ist die Konsequenz, die die Forschende daraus ziehen: Sie wollen einen Bluttest entwickeln, der das Sterberisiko voraussagt. Laut den Wissenschaftler:innen könnten medizinische Fachkräfte mit diesem Wissen besser über einen operativen Eingriff entscheiden. Genau diese Einschätzung steht in der Kritik: Könnten nicht andersherum medizinisches Fachpersonal und Krankenkassen einem Menschen einen womöglich dringend nötigen Eingriff wegen der Diagnose seines Todesdatums verweigern?Ein Bluttest zur Bestimmung des Todesdatums von Menschen – ganz schön fragwürdig.
Foto: iStock/izusek
Für ihre Untersuchung haben die Forschende vom Max-Planck-Institut für die Biologie des Alterns in Köln mit ihren internationalen Kolleg:innen Daten von über 44.000 Patient:innen zwischen 18 und 109 Jahren ausgewertet. Jeder achte starb während der Langzeitstudien. Ihre Arbeit haben die Forschende im Fachmagazin Nature Communications veröffentlicht.Dein Todesdatum: Es ist noch ein langer WegWann sterbe ich? Das können Forschende vielleicht irgendwann sagen. Klar ist: Derartige Tests zur Bestimmung des Todesdatums eines Menschen sind noch weit von der Marktreife entfernt. Unmöglich ist es jedoch nicht. „Es macht möglicherweise zunächst Angst, wenn ein Algorithmus über Therapien mitentscheidet“, sagt Florian Kronenberg vom Institut für Genetische Epidemiologie an der Medizinischen Universität Innsbruck dem Spiegel.„Doch schon heute fallen in der Medizin ständig Entscheidungen, meist auf der Basis von relativ wenigen Daten.“ Und neben der nötigen Daten wäre da immer noch die ethisch fragwürdigen Aspekte dieser Zukunftsvision. Bis dahin helfen vielleicht schon diese Apps für Sterben und Tod und Forschungen zum Bewusstsein im Leben nach dem Tod. Außerdem wollen Wissenschaftler:innen uns unsterblich machen, vielleicht schon ab 2045.


Du willst mehr von uns lesen? Folge uns auf Google News.
 

Markiert: Gesundheit, KünstlicheIntelligenz, LifeScience 
",https://schema.org,"[{'@type': 'NewsArticle', '@id': 'https://www.futurezone.de/science/article228050137/wann-sterbe-ich-so-genau-kennen-forscher-dein-todesdatum.html#article', 'isPartOf': {'@id': 'https://www.futurezone.de/science/article228050137/wann-sterbe-ich-so-genau-kennen-forscher-dein-todesdatum.html'}, 'author': [{'@id': 'https://www.futurezone.de/#/schema/person/5d725b30e079821639c85e2ef7dc0b81'}], 'headline': 'Wann sterbe ich? Wissenschaft könnte das Todesdatum voraussehen', 'datePublished': '2021-06-12T09:26:00+00:00', 'dateModified': '2021-09-24T14:47:42+00:00', 'mainEntityOfPage': {'@id': 'https://www.futurezone.de/science/article228050137/wann-sterbe-ich-so-genau-kennen-forscher-dein-todesdatum.html'}, 'wordCount': 738, 'commentCount': 0, 'publisher': {'@id': 'https://www.futurezone.de/#organization'}, 'image': {'@id': 'https://www.futurezone.de/science/article228050137/wann-sterbe-ich-so-genau-kennen-forscher-dein-todesdatum.html#primaryimage'}, 'thumbnailUrl': 'https://www.futurezone.de/wp-content/uploads/sites/11/2021/09/wann-sterbe-ich.jpg', 'keywords': ['Gesundheit', 'KünstlicheIntelligenz', 'LifeScience'], 'articleSection': ['Science'], 'inLanguage': 'de-DE', 'copyrightYear': '2021', 'copyrightHolder': {'@id': 'https://vrt.funkedigital.de/#organization'}}, {'@type': 'WebPage', '@id': 'https://www.futurezone.de/science/article228050137/wann-sterbe-ich-so-genau-kennen-forscher-dein-todesdatum.html', 'url': 'https://www.futurezone.de/science/article228050137/wann-sterbe-ich-so-genau-kennen-forscher-dein-todesdatum.html', 'name': 'Wann sterbe ich? Wissenschaft könnte das Todesdatum voraussehen', 'isPartOf': {'@id': 'https://www.futurezone.de/#website'}, 'primaryImageOfPage': {'@id': 'https://www.futurezone.de/science/article228050137/wann-sterbe-ich-so-genau-kennen-forscher-dein-todesdatum.html#primaryimage'}, 'image': {'@id': 'https://www.futurezone.de/science/article228050137/wann-sterbe-ich-so-genau-kennen-forscher-dein-todesdatum.html#primaryimage'}, 'thumbnailUrl': 'https://www.futurezone.de/wp-content/uploads/sites/11/2021/09/wann-sterbe-ich.jpg', 'datePublished': '2021-06-12T09:26:00+00:00', 'dateModified': '2021-09-24T14:47:42+00:00', 'description': 'Die Frage &quot;Wann sterbe ich?&quot; wollen Forschende mit einem Röntgenbild und einem Bluttest beantworten. So genau können sie damit das Todesdatum voraussagen.', 'breadcrumb': {'@id': 'https://www.futurezone.de/science/article228050137/wann-sterbe-ich-so-genau-kennen-forscher-dein-todesdatum.html#breadcrumb'}, 'inLanguage': 'de-DE', 'potentialAction': [{'@type': 'ReadAction', 'target': ['https://www.futurezone.de/science/article228050137/wann-sterbe-ich-so-genau-kennen-forscher-dein-todesdatum.html']}]}, {'@type': 'ImageObject', 'inLanguage': 'de-DE', '@id': 'https://www.futurezone.de/science/article228050137/wann-sterbe-ich-so-genau-kennen-forscher-dein-todesdatum.html#primaryimage', 'url': 'https://www.futurezone.de/wp-content/uploads/sites/11/2021/09/wann-sterbe-ich.jpg', 'contentUrl': 'https://www.futurezone.de/wp-content/uploads/sites/11/2021/09/wann-sterbe-ich.jpg', 'width': 1600, 'height': 900, 'caption': 'Forschende könnten in Zukunft vielleicht die Frage beantworten: &quot;Wann sterbe ich?&quot; Foto: Getty Images/baona'}, {'@type': 'BreadcrumbList', '@id': 'https://www.futurezone.de/science/article228050137/wann-sterbe-ich-so-genau-kennen-forscher-dein-todesdatum.html#breadcrumb', 'itemListElement': [{'@type': 'ListItem', 'position': 1, 'name': 'Futurezone', 'item': 'https://www.futurezone.de/'}, {'@type': 'ListItem', 'position': 2, 'name': 'Science', 'item': 'https://www.futurezone.de/science'}, {'@type': 'ListItem', 'position': 3, 'name': 'Wann sterbe ich? Wissenschaft könnte das Todesdatum voraussehen'}]}, {'@type': 'WebSite', '@id': 'https://www.futurezone.de/#website', 'url': 'https://www.futurezone.de/', 'name': 'Futurezone', 'description': 'Aktuelle Nachrichten aus den Bereichen Technologie, Netzpolitik, Digital Life, Gadgets, StartUps, Science und Games', 'publisher': {'@id': 'https://www.futurezone.de/#organization'}, 'potentialAction': [{'@type': 'SearchAction', 'target': {'@type': 'EntryPoint', 'urlTemplate': 'https://www.futurezone.de/?s={search_term_string}'}, 'query-input': 'required name=search_term_string'}], 'inLanguage': 'de-DE'}, {'@type': 'Organization', '@id': 'https://www.futurezone.de/#organization', 'name': 'futurezone.de', 'url': 'https://www.futurezone.de/', 'logo': {'@type': 'ImageObject', 'inLanguage': 'de-DE', '@id': 'https://www.futurezone.de/#/schema/logo/image/', 'url': 'https://www.futurezone.de/wp-content/uploads/sites/11/2021/12/fuzo-logo-short-1.png', 'contentUrl': 'https://www.futurezone.de/wp-content/uploads/sites/11/2021/12/fuzo-logo-short-1.png', 'width': 591, 'height': 591, 'caption': 'futurezone.de'}, 'image': {'@id': 'https://www.futurezone.de/#/schema/logo/image/'}}, {'@type': 'Person', '@id': 'https://www.futurezone.de/#/schema/person/5d725b30e079821639c85e2ef7dc0b81', 'name': 'Katharina Nickel', 'image': {'@type': 'ImageObject', 'inLanguage': 'de-DE', '@id': 'https://www.futurezone.de/#/schema/person/image/bc773734ad470c257b3a08badf5228e0', 'url': 'https://www.futurezone.de/wp-content/uploads/sites/11/2021/09/Katharina-Nickel-96x96.jpg', 'contentUrl': 'https://www.futurezone.de/wp-content/uploads/sites/11/2021/09/Katharina-Nickel-96x96.jpg', 'caption': 'Katharina Nickel'}, 'description': 'Katharina ist ehemalige Online-Redakteurin bei futurezone.de. Ihre Themenbereiche waren Life Science, Alltagsmythen und Tech für Verbraucher.', 'url': 'https://www.futurezone.de/autoren/katharina-nickel'}]",VideoObject,Wann sterbe ich? Wissenschaft könnte das Todesdatum voraussehen,{'@id': 'https://www.futurezone.de/science/article228050137/wann-sterbe-ich-so-genau-kennen-forscher-dein-todesdatum.html'},['https://front.vtv.funkedigital.de/p/106/thumbnail/entry_id/0_qo9vo726/width/640/height/0'],2020-04-18GMT06:37+00:00,https://front.vtv.funkedigital.de/p/106/sp/0/playManifest/entryId/0_qo9vo726/format/url/protocol/https/flavorParamId/video.mp4,https://front.vtv.funkedigital.de/index.php/extwidget/preview/partner_id/106/uiconf_id/23465247/playlist_id/0_qo9vo726/embed/auto
https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vd3d3LmRldXRzY2hsYW5kZnVuay5kZS9rdWVuc3RsaWNoZS1pbnRlbGxpZ2Vuei11bmQtZXRoaWNzLXdhc2hpbmctd2lyLWhhYmVuLWtlaW5lLTEwMC5odG1s0gEA?oc=5,"Künstliche Intelligenz und ""Ethics Washing"" - ""Wir haben keine seriösen Experten für angewandte Ethik der KI"" - Deutschlandfunk",2021-06-11,Deutschlandfunk,https://www.deutschlandfunk.de,"Deutschland brauche dringend KI-Ethiker, fordert der Philosoph Thomas Metzinger im Dlf. China habe die Führung in der KI-Forschung übernommen, teile aber die europäischen Werte nicht. Derweil kaufe Facebook etwa an der TU München einen eigenen Ausbildungsbereich, in dem ""Fake-Ethiker"" entstünden.",N/A,"Deutschland brauche dringend KI-Ethiker, fordert der Philosoph Thomas Metzinger im Dlf. China habe die Führung in der KI-Forschung übernommen, teile aber die europäischen Werte nicht. Derweil kaufe Facebook etwa an der TU München einen eigenen Ausbildungsbereich, in dem ""Fake-Ethiker"" entstünden.","Deutschland brauche dringend KI-Ethiker, fordert der Philosoph Thomas Metzinger im Dlf. China habe die Führung in der KI-Forschung übernommen, teile aber die europäischen Werte nicht. Derweil kaufe Facebook etwa an der TU München einen eigenen Ausbildungsbereich, in dem ""Fake-Ethiker"" entstünden.",N/A,N/A,"



Nahostkonflikt
Aktuelle Lage und Hintergründe
Der Überfall der palästinensischen Terrororganisation Hamas im Oktober 2023 auf Israel hat in der Region wieder die Gewalt entfacht. Israel möchte die Hamas zerstören. Diese wird wie die Hisbollah im Libanon vom Iran unterstützt.
",,,,,,,,,
