URL link,Title,Date,Source,Source Link,description,keywords,og:description,twitter:description,datePublished,image,expires,@type,author,publisher,dateModified,mainEntityOfPage,@context,headline,url,itemListElement,contentUrl,uploadDate,name,thumbnailUrl,article:section,article:summary,article text,@graph
https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3Lm4tdHYuZGUvbWVkaWF0aGVrL3ZpZGVvcy90ZWNobmlrL1JvYm90ZXItU29waGlhLXdpdHplbHQtdW5kLXNjaHdhZXJtdC12b24tQ1I3LWFydGljbGUyMDQyOTE2My5odG1s0gEA?oc=5,Künstliche Intelligenz auf Welttournee: Roboter Sophia witzelt und schwärmt von CR7 - n-tv.de - n-tv NACHRICHTEN,2018-05-11,n-tv NACHRICHTEN,https://www.n-tv.de,"Sie hält Reden vor den Vereinten Nationen, schüttelt Stars wie Cristiano Ronaldo die Hand und gibt massenhaft TV-Interviews, doch Sophia ist kein Mensch. Die intelligente Roboterdame reist derzeit um die Welt, um ihre außergewöhnlichen Fähigkeiten unter Beweis zu stellen.","Künstliche Intelligenz, Roboter, Bulgarien, Saudi-Arabien","Sie hält Reden vor den Vereinten Nationen, schüttelt Stars wie Cristiano Ronaldo die Hand und gibt massenhaft TV-Interviews, doch Sophia ist kein Mensch. Die intelligente Roboterdame reist derzeit um die Welt, um ihre außergewöhnlichen Fähigkeiten unter Beweis zu stellen.",N/A,2018-05-11T13:36:38,"[{'@type': 'ImageObject', 'width': '1200', 'url': 'https://bilder3.n-tv.de/img/incoming/crop20429202/5761325104-cImg_16_9-w1200/sophia.jpg', 'height': '676'}, {'@type': 'ImageObject', 'width': '1200', 'url': 'https://bilder3.n-tv.de/img/incoming/crop20429202/1329114613-cImg_4_3-w1200/sophia.jpg', 'height': '900'}, {'@type': 'ImageObject', 'width': '1200', 'url': 'https://bilder3.n-tv.de/img/incoming/crop20429202/3111165408-cImg_1_1-w1200/sophia.jpg', 'height': '1200'}]",,VideoObject,"{'@type': 'Organization', 'name': 'n-tv NACHRICHTEN', 'url': 'https://www.n-tv.de'}","{'@type': 'Organization', 'name': 'n-tv NACHRICHTEN', 'logo': {'@type': 'ImageObject', 'width': 96, 'url': 'https://bilder1.n-tv.de/stat/images/ntv_logo.png', 'height': 60}}",2018-05-11T13:36:38,"{'@type': 'WebPage', 'url': 'https://www.n-tv.de/mediathek/videos/technik/Roboter-Sophia-witzelt-und-schwaermt-von-CR7-article20429163.html'}",http://schema.org,Künstliche Intelligenz auf Welttournee: Roboter Sophia witzelt und schwärmt von CR7,https://www.n-tv.de/mediathek/videos/technik/Roboter-Sophia-witzelt-und-schwaermt-von-CR7-article20429163.html,"[{'item': {'name': 'ntv.de', '@id': 'https://www.n-tv.de/'}, '@type': 'ListItem', 'position': '1'}, {'item': {'name': 'Mediathek', '@id': 'https://www.n-tv.de/mediathek/'}, '@type': 'ListItem', 'position': 2}, {'item': {'name': 'Videos', '@id': 'https://www.n-tv.de/mediathek/videos/'}, '@type': 'ListItem', 'position': 3}, {'item': {'name': 'Technik', '@id': 'https://www.n-tv.de/mediathek/videos/technik/'}, '@type': 'ListItem', 'position': 4}, {'item': {'name': 'Künstliche Intelligenz auf Welttournee: Roboter Sophia witzelt und schwärmt von CR7', '@id': 'https://www.n-tv.de/mediathek/videos/technik/Roboter-Sophia-witzelt-und-schwaermt-von-CR7-article20429163.html'}, '@type': 'ListItem', 'position': 5}]",https://bot-cf.n-tv.de/std/abr/2018/05/CPRoboter_MAZ_180511124745-web6.mp4,2018-05-11T13:36:38,Künstliche Intelligenz auf Welttournee: Roboter Sophia witzelt und schwärmt von CR7 - Video - ntv,https://bilder3.n-tv.de/img/incoming/crop20429202/5761325104-cImg_16_9-w1200/sophia.jpg,N/A,N/A,"









01:01 min





Panorama

09.07.2024
01:01 min




Eskalation wegen Sitzplatz
Massenschlägerei zwingt Ryanair-Flieger zu Notlandung



",
https://news.google.com/rss/articles/CBMiemh0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5kZS9wb2xpdGlrL2NoaW5hLXVlYmVyd2FjaHQtbWl0LWVpbmVyLW5ldWVuLXRlY2hub2xvZ2llLWRpZS1nZWhpcm53ZWxsZW4tdm9uLWFyYmVpdGVybi0yMDE4LTUv0gEA?oc=5,In chinesischen Firmen werden jetzt offenbar die Gehirnströme von Mitarbeitern überwacht - Business Insider Deutschland,2018-05-07,Business Insider Deutschland,https://www.businessinsider.de,"In China werden Berichten zufolge die Emotionen von Angestellten in Fabriken, staatseigenen Unternehmen und Soldaten überwacht.","China, Militär","In China werden Berichten zufolge die Emotionen von Angestellten in Fabriken, staatseigenen Unternehmen und Soldaten überwacht.",N/A,,,,,,,,,https://schema.org,,,,,,,,N/A,N/A,"

In einigen chinesischen Firmen sollen die Gehirnströme der Angestellten untersucht werdenGetty Images
In China werden in einigen Fabriken, Unternehmen und beim Militär die Gehirnströme von Angestellten überwacht. Das berichtet die „South China Morning Post“, Hongkongs größte englischsprachige Zeitung. 
Mit Hilfe kabelloser Sensoren in den Helmen oder Mützen der Angestellten sowie Algorithmen aus dem Bereich Künstliche Intelligenz sollen Wut, Angst oder Traurigkeit der Arbeitnehmer gemessen werden.



Arbeitgeber nutzen diese „emotionale Überwachungstechnologie“ offenbar, um Arbeitsabläufe und die Produktivität zu verbessern.
China: Gewinnsteigerung durch Messung der Gehirnströme?
Seitdem diese Technologie etwa in einem Elektrizitätswerk in Hangzhou im Südwesten Chinas eingeführt wurde, erhöhten sich die Gewinne des Unternehmens um 315 Millionen US-Dollar, wie ein Funktionär der „South China Morning Post“ berichtete.
Cheng Jingzhou, der das Programm des Unternehmens überwacht, sagt, dass es „keinen Zweifel über die Auswirkungen“ gebe. Gehirndaten würden dem 40.000-Mann-Unternehmen helfen, mit höheren Standards zu arbeiten.
Laut dem Blatt haben mehr als ein Dutzend Unternehmen sowie das Militär in China ein anderes Programm genutzt, dass von Forschern des Projekt Neuro Cap von der Ningbo-Universität entwickelt wurde.

Sensor schlägt Alarm, wenn der Lokführer einschläft
„Sie dachten, dass wir ihre Gedanken lesen können. Das führte am Anfang zu Unbehagen und Widerstand,“ berichtete Hin Jia, Professor für Neurowissenschaft an der Ningo-Universität der „South China Morning Post“.
„Nach einer Weile haben sie sich aber daran gewöhnt und es den ganzen Tag getragen.“
Jin berichtet zudem, dass die Hirnströme der Angestellten Grund genug sein können, sie nach Hause zu schicken.
„Wenn das System warnt, bittet der Vorgesetzte seinen Arbeiter, den Tag freizunehmen oder an einen weniger kritischen Arbeitsplatz zu wechseln. Manche Jobs erfordern höchste Konzentration, da ist kein Platz für Fehler.“

Ein weiterer Schritt auf dem Weg zur Totalüberwachung in China?
Ein anderer Sensor, der vom Tech-Unternehmen Deayea entwickelt wurde, wird Berichten zufolge in den Kopfbedeckungen von Zugführern der Hochgeschwindigkeits-Bahnlinie zwischen Peking und Shanghai eingesetzt. Der Sensor kann sogar Alarm auslösen, wenn der Fahrer einschlafen sollte.
Lest auch: In China könnte 2020 ein Gesetz in Kraft treten, das viele düstere Vorhersagen übertrifft
Die weitverbreitete Nutzung emotionaler Überwachung könnte ein weiterer Schritt in Richtung Überwachungsstaat China sein. In der Vergangenheit hat sich Peking vor allem auf Gesichtserkennung und zunehmende Zensur im Internet konzentriert.

Dieser Artikel wurde aus dem Englischen übersetzt. 







Verwandte Artikel Spionage-Gefahr aus China: Netzbetreiber in Deutschland müssen wohl ab 2026 Huawei-Teile aus 5G-Netz entfernen Wegen Sanktionen: Russischer Devisenhandel erfolgt fast ausschließlich in Yuan Indien zeigt demonstrativ seine Freundschaft zu Putin – aus Angst vor China Defense-Tech-Startups: Das steckt hinter diesen Jobtiteln – und so viel könnt ihr verdienen Die Steueroase Singapur prüft ausländisches Kapital strenger – und Hongkong wird Chinas sicherer Hafen für Superreiche


Mehr zum ThemaChinaMilitär


Empfehlungen








","[{'@type': 'NewsArticle', '@id': 'https://www.businessinsider.de/politik/china-ueberwacht-mit-einer-neuen-technologie-die-gehirnwellen-von-arbeitern-2018-5/#article', 'isPartOf': {'@id': 'https://www.businessinsider.de/politik/china-ueberwacht-mit-einer-neuen-technologie-die-gehirnwellen-von-arbeitern-2018-5/'}, 'author': {'@type': 'Organization', 'name': 'Business Insider Deutschland', 'url': 'https://www.businessinsider.de'}, 'headline': 'In chinesischen Firmen werden jetzt offenbar die Gehirnströme von Mitarbeitern überwacht', 'datePublished': '2018-05-07T15:57:13+00:00', 'dateModified': '2020-02-06T03:40:58+00:00', 'mainEntityOfPage': {'@id': 'https://www.businessinsider.de/politik/china-ueberwacht-mit-einer-neuen-technologie-die-gehirnwellen-von-arbeitern-2018-5/'}, 'wordCount': 487, 'publisher': {'@id': 'https://www.businessinsider.de/#organization'}, 'image': {'@id': 'https://www.businessinsider.de/politik/china-ueberwacht-mit-einer-neuen-technologie-die-gehirnwellen-von-arbeitern-2018-5/#primaryimage'}, 'thumbnailUrl': 'https://cdn.businessinsider.de/wp-content/uploads/2018/05/gettyimages-85477374.png', 'keywords': ['China', 'Militär'], 'articleSection': ['Politik'], 'inLanguage': 'de-DE', 'copyrightYear': '2018', 'copyrightHolder': {'@id': 'https://www.businessinsider.de/#organization'}}, {'@type': 'WebPage', '@id': 'https://www.businessinsider.de/politik/china-ueberwacht-mit-einer-neuen-technologie-die-gehirnwellen-von-arbeitern-2018-5/', 'url': 'https://www.businessinsider.de/politik/china-ueberwacht-mit-einer-neuen-technologie-die-gehirnwellen-von-arbeitern-2018-5/', 'name': 'In chinesischen Firmen werden jetzt offenbar die Gehirnströme von Mitarbeitern überwacht', 'isPartOf': {'@id': 'https://www.businessinsider.de/#website'}, 'primaryImageOfPage': {'@id': 'https://www.businessinsider.de/politik/china-ueberwacht-mit-einer-neuen-technologie-die-gehirnwellen-von-arbeitern-2018-5/#primaryimage'}, 'image': {'@id': 'https://www.businessinsider.de/politik/china-ueberwacht-mit-einer-neuen-technologie-die-gehirnwellen-von-arbeitern-2018-5/#primaryimage'}, 'thumbnailUrl': 'https://cdn.businessinsider.de/wp-content/uploads/2018/05/gettyimages-85477374.png', 'datePublished': '2018-05-07T15:57:13+00:00', 'dateModified': '2020-02-06T03:40:58+00:00', 'description': 'In China werden Berichten zufolge die Emotionen von Angestellten in Fabriken, staatseigenen Unternehmen und Soldaten überwacht.', 'breadcrumb': {'@id': 'https://www.businessinsider.de/politik/china-ueberwacht-mit-einer-neuen-technologie-die-gehirnwellen-von-arbeitern-2018-5/#breadcrumb'}, 'inLanguage': 'de-DE', 'potentialAction': [{'@type': 'ReadAction', 'target': ['https://www.businessinsider.de/politik/china-ueberwacht-mit-einer-neuen-technologie-die-gehirnwellen-von-arbeitern-2018-5/']}]}, {'@type': 'ImageObject', 'inLanguage': 'de-DE', '@id': 'https://www.businessinsider.de/politik/china-ueberwacht-mit-einer-neuen-technologie-die-gehirnwellen-von-arbeitern-2018-5/#primaryimage', 'url': 'https://cdn.businessinsider.de/wp-content/uploads/2018/05/gettyimages-85477374.png', 'contentUrl': 'https://cdn.businessinsider.de/wp-content/uploads/2018/05/gettyimages-85477374.png', 'width': 1375, 'height': 1031}, {'@type': 'BreadcrumbList', '@id': 'https://www.businessinsider.de/politik/china-ueberwacht-mit-einer-neuen-technologie-die-gehirnwellen-von-arbeitern-2018-5/#breadcrumb', 'itemListElement': [{'@type': 'ListItem', 'position': 1, 'name': 'Home', 'item': 'https://www.businessinsider.de/'}, {'@type': 'ListItem', 'position': 2, 'name': 'Politik', 'item': 'https://www.businessinsider.de/politik/'}, {'@type': 'ListItem', 'position': 3, 'name': 'In chinesischen Firmen werden jetzt offenbar die Gehirnströme von Mitarbeitern überwacht'}]}, {'@type': 'WebSite', '@id': 'https://www.businessinsider.de/#website', 'url': 'https://www.businessinsider.de/', 'name': 'Business Insider', 'description': 'Aktuelle News von Business Insider aus Deutschland.', 'publisher': {'@id': 'https://www.businessinsider.de/#organization'}, 'potentialAction': [{'@type': 'SearchAction', 'target': {'@type': 'EntryPoint', 'urlTemplate': 'https://www.businessinsider.de/?s={search_term_string}'}, 'query-input': 'required name=search_term_string'}], 'inLanguage': 'de-DE'}, {'@type': 'Organization', '@id': 'https://www.businessinsider.de/#organization', 'name': 'Business Insider', 'url': 'https://www.businessinsider.de/', 'logo': {'@type': 'ImageObject', 'inLanguage': 'de-DE', '@id': 'https://www.businessinsider.de/#/schema/logo/image/', 'url': 'https://cdn.businessinsider.de/wp-content/uploads/2024/03/BI-SecondaryLogo-Black.png?ver=1709627310', 'contentUrl': 'https://cdn.businessinsider.de/wp-content/uploads/2024/03/BI-SecondaryLogo-Black.png?ver=1709627310', 'width': 4096, 'height': 361, 'caption': 'Business Insider'}, 'image': {'@id': 'https://www.businessinsider.de/#/schema/logo/image/'}}, {'@type': 'Person', '@id': 'https://www.businessinsider.de/#/schema/person/2db860de2a92c3502d20e0c8e96dedd1', 'name': 'Business Insider Deutschland', 'sameAs': ['https://www.businessinsider.de/'], 'url': 'https://www.businessinsider.de/author/business-insider-deutschland/'}]"
https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vd3d3LnNyZi5jaC9uZXdzL3NjaHdlaXovam9icy1mdWVyLWZsdWVjaHRsaW5nZS1hbGdvcml0aG11cy12ZXJ0ZWlsdC1uZXUtYXN5bGJld2VyYmVyLWF1Zi1rYW50b25l0gEA?oc=5,Jobs für Flüchtlinge - Algorithmus verteilt neu Asylbewerber auf Kantone - SRF – Schweizer Radio und Fernsehen,2018-05-09,SRF – Schweizer Radio und Fernsehen,https://www.srf.ch,Für die «Big Data» des Migrationsamtes interessieren sich weltweit auch andere Staaten.,N/A,Für die «Big Data» des Migrationsamtes interessieren sich weltweit auch andere Staaten.,Für die «Big Data» des Migrationsamtes interessieren sich weltweit auch andere Staaten.,,,,,,,,,,,,,,,,,News,N/A,"



News





Schweiz




Inhalt










Jobs für Flüchtlinge
 - 
Algorithmus verteilt neu Asylbewerber auf Kantone



Autor: 

Claudia Badertscher


Donnerstag, 10.05.2018, 02:57 Uhr









Klicken, um die Teilen-Funktion zu öffnen.




Teilen



Zu den Kommentaren springen.


Anzahl Kommentare: 
101








Teilen


Schliessen
















Auf Facebook teilen
Facebook









Auf X teilen
X









Per WhatsApp teilen
WhatsApp









Per E-Mail teilen
E-Mail









Link kopieren
Link kopieren














Das Wichtigste in Kürze:Es ist eine Premiere: Das Staatssekretariat für Migration (SEM) setzt auf künstliche Intelligenz.Ein datenbasierter Algorithmus soll dafür sorgen, dass Flüchtlinge schneller einen Job finden.Den Asyl-Algorithmus testet der Bund in einem Pilotprojekt bereits ab September, wie das SEM gegenüber «10vor10» bestätigt.Heute verteilt der Bund die Asylsuchenden zufällig auf die Kantone. Nur rund 15 Prozent haben im dritten Jahr nach der Ankunft eine Stelle. Im Pilotprojekt werden 1000 Asylsuchende genau jenem Kanton zugeteilt, in dem sie die besten Chancen auf einen Job haben. So sollen markant mehr Arbeit finden als bisher. Daniel Bach, Sprecher des SEM, sagt zu «10vor10»: «Das wäre ein grosser Schritt vorwärts. Wir sind selbst auch gespannt, wie das dann funktioniert.»









 




00:09





Video
Daniel Bach nimmt Stellung zum Asyl-Algorithmus

                                                      Aus News-Clip vom 09.05.2018.
                                                  
abspielen. Laufzeit  9 Sekunden.




Programmiert haben den Algorithmus Forscher der ETH Zürich und der amerikanischen Elite-Universität Stanford. Das Programm basiert auf Big Data: Es lernt zunächst aus den Daten von zehntausenden Personen, die in der Vergangenheit aufgenommen worden sind. Diese scannt es nach den Kriterien Alter, Geschlecht, Nationalität und weiteren Punkten. Und errechnet, welche Personen in welchem Kanton am ehesten Arbeit gefunden haben.









 




00:26





Video
Dominik Hangartner zur Verteilung der Asylsuchenden

                                                      Aus News-Clip vom 09.05.2018.
                                                  
abspielen. Laufzeit  26 Sekunden.




Seine Erkenntnisse wendet der Algorithmus dann auf Neu-Ankömmlinge an – und teilt jede Person genau dem Kanton zu, wo diese am schnellsten eine Stelle findet. Der Algorithmus lernt laufend: So merkt er etwa, wenn sich der Arbeitsmarkt in den Kantonen verändert, und passt sich entsprechend an.
Steigerung der Arbeitsintegration von bis zu 30 ProzentDie Forscher erwarten einen Anstieg der Erwerbstätigkeit um bis zu 30 Prozent im dritten Aufenthaltsjahr. Ohne zusätzlichen Verwaltungsaufwand – einfach durch maschinelles Lernen. Dominik Hangartner, Professor für Politikanalyse an der ETH Zürich: «Für uns ist es wichtig, dass wir den Algorithmus im Feld testen können. Wir erwarten viele Erkenntnisse, die dann in die Verbesserung des Programms einfliessen.» Neben der Versuchsgruppe gibt es auch eine gleich grosse Kontrollgruppe. Diese wird nach dem bisherigen Zufallsprinzip verteilt.

Für uns ist es wichtig, dass wir den Algorithmus im Feld testen können. Wir erwarten viele Erkenntnisse, die dann in die Verbesserung des Programms einfliessen.



Autor: Dominik Hangartner
Professor für Politikanalyse an der ETH Zürich



Für das Projekt werden nur Menschen ausgewählt, die sehr gute Chancen haben, hier zu bleiben. Die Schweiz ist damit das erste Land überhaupt, das einen solchen datenbasierten Flüchtlings-Algorithmus testet. Doch das Programm findet international Anklang: «Das Interesse von diversen Ländern ist sehr gross», so Hangartner.
Ghettoisierung verhindernDie Asylsuchenden werden heute zufällig, aber gleichmässig nach Herkunftsländern über die Kantone verteilt. Vor allem auch, um eine Ghettobildung zu vermeiden. An diese Vorgabe wird sich auch der Algorithmus halten.




                Mehr zum Thema
            






            Hinweis auf einen verwandten Artikel:
        


«Asyl-Algorithmus»
Computer sollen Asylsuchende auf Kantone verteilen


                18.01.2018
    

                Mit Video
     











Klicken, um die Teilen-Funktion zu öffnen.




Teilen



Zu den Kommentaren springen.


Anzahl Kommentare: 
101








Teilen


Schliessen
















Auf Facebook teilen
Facebook









Auf X teilen
X









Per WhatsApp teilen
WhatsApp









Per E-Mail teilen
E-Mail









Link kopieren
Link kopieren










News





Schweiz










",
